p,n,chalky
0.5,1,31.499999999999776
0.5049,1,31.799056107671984
0.5098,1,32.09811829614811
0.5147,1,32.39718674369405
0.5196,1,32.696261635612366
0.5245,1,32.995343164594566
0.5294,1,33.29443153108971
0.5343,1,33.59352694370244
0.5392,1,33.892629619609565
0.5441,1,34.19173978500503
0.549,1,34.49085767557491
0.5539,1,34.78998353699834
0.5588,1,35.08911762548317
0.5637,1,35.3882602083374
0.5686,1,35.68741156457682
0.5735,1,35.98657198557
0.5784,1,36.2857417757341
0.5833,1,36.584921253269755
0.5882000000000001,1,36.884110750953504
0.5931,1,37.18331061697893
0.598,1,37.482521215861865
0.6029,1,37.78174292940729
0.6078,1,38.08097615774773
0.6127,1,38.380221320454694
0.6176,1,38.67947885773508
0.6225,1,38.97874923171466
0.6274,1,39.27803292782137
0.6323,1,39.57733045626858
0.6372,1,39.876642353662376
0.6421,1,40.17596918472795
0.647,1,40.47531154417542
0.6519,1,40.7746700587188
0.6568,1,41.07404538925591
0.6617,1,41.37343823323309
0.6666,1,41.67284932720527
0.6715,1,41.97227944961865
0.6764,1,42.27172942382933
0.6813,1,42.571200121390724
0.6862,1,42.870692465632956
0.6911,1,43.170207435564215
0.696,1,43.46974607013314
0.7009,1,43.76930947288716
0.7058,1,44.068898817072466
0.7107,1,44.36851535122474
0.7156,1,44.668160405306786
0.7205,1,44.9678353974576
0.7254,1,45.26754184142203
0.7303,1,45.56728135474625
0.7352,1,45.867055667830265
0.7401,1,46.16686663394474
0.745,1,46.466716240333184
0.7499,1,46.76660662054255
0.7547999999999999,1,47.06654006813811
0.7597,1,47.366519051991915
0.7646,1,47.66654623335991
0.7695000000000001,1,47.96662448499117
0.7744,1,48.26675691256538
0.7793,1,48.56694687878838
0.7842,1,48.867198030543356
0.7890999999999999,1,49.1675143295586
0.794,1,49.467900087133316
0.7988999999999999,1,49.76836000356394
0.8038000000000001,1,50.068899213029084
0.8087,1,50.36952333483663
0.8136,1,50.670238532110126
0.8185,1,50.971051579205074
0.8233999999999999,1,51.271969939410184
0.8283,1,51.57300185480964
0.8331999999999999,1,51.874156450588956
0.8381000000000001,1,52.17544385656561
0.843,1,52.476875349357165
0.8479,1,52.7784635193956
0.8528,1,53.08022246800442
0.8576999999999999,1,53.38216804104821
0.8626,1,53.68431810732445
0.8674999999999999,1,53.98669289202387
0.8724000000000001,1,54.289315378400225
0.8773,1,54.59221179450238
0.8822,1,54.895412206753676
0.8871,1,55.198951248781235
0.892,1,55.502869022869014
0.8969,1,55.807212223695274
0.9017999999999999,1,56.11203555104114
0.9067000000000001,1,56.41740350204878
0.9116,1,56.7233926675719
0.9165,1,57.03009470616805
0.9214,1,57.33762024109517
0.9263,1,57.64610403275038
0.9312,1,57.955711941659075
0.9360999999999999,1,58.26665044943367
0.9410000000000001,1,58.57917990553887
0.9459,1,58.893633319553544
0.9508,1,59.21044361050761
0.9557,1,59.53018411359632
0.9606,1,59.853630533286875
0.9655,1,60.1818588722523
0.9703999999999999,1,60.51640632054176
0.9753000000000001,1,60.85954799715572
0.9802,1,61.21480014365236
0.9851,1,61.587900093564805
0.99,1,61.98888888888888
0.5,10,32.496353045815084
0.5049,10,32.804729957267625
0.5098,10,33.11308160656886
0.5147,10,33.42140628324713
0.5196,10,33.72970217964109
0.5245,10,34.0379673865763
0.5294,10,34.346199888878004
0.5343,10,34.654397560825686
0.5392,10,34.96255816143735
0.5441,10,35.27067932966202
0.549,10,35.57875857947876
0.5539,10,35.88679329485368
0.5588,10,36.19478072461488
0.5637,10,36.502717977245524
0.5686,10,36.810602015575824
0.5735,10,37.11842965136697
0.5784,10,37.426197539895306
0.5833,10,37.73390217440233
0.5882000000000001,10,38.04153988056284
0.5931,10,38.34910681086177
0.598,10,38.65659893899763
0.6029,10,38.964012054264806
0.6078,10,39.271341755969445
0.6127,10,39.578583447864155
0.6176,10,39.885732332678856
0.6225,10,40.19278340671892
0.6274,10,40.49973145461778
0.6323,10,40.80657104418637
0.6372,10,41.113296521540846
0.6421,10,41.419902006399994
0.647,10,41.726381387675865
0.6519,10,42.03272831942105
0.6568,10,42.33893621711742
0.6617,10,42.64499825445185
0.6666,10,42.95090736056126
0.6715,10,43.256656217906716
0.6764,10,43.562237260765166
0.6813,10,43.86764267450546
0.6862,10,44.17286439570319
0.6911,10,44.47789411319452
0.696,10,44.78272327022257
0.7009,10,45.08734306776478
0.7058,10,45.39174446919942
0.7107,10,45.69591820645379
0.7156,10,45.99985478780472
0.7205,10,46.30354450751954
0.7254,10,46.60697745750678
0.7303,10,46.91014354122302
0.7352,10,47.21303249004788
0.7401,10,47.51563388238628
0.745,10,47.81793716576086
0.7499,10,48.11993168221911
0.7547999999999999,10,48.42160669732952
0.7597,10,48.72295143313299
0.7646,10,49.02395510543183
0.7695000000000001,10,49.32460696575056
0.7744,10,49.62489634844637
0.7793,10,49.92481272334103
0.7842,10,50.22434575435421
0.7890999999999999,10,50.523485364597626
0.794,10,50.8222218083739
0.7988999999999999,10,51.120545750558215
0.8038000000000001,10,51.41844835377183
0.8087,10,51.71592137376406
0.8136,10,52.012957263296364
0.8185,10,52.3095492847438
0.8233999999999999,10,52.60569163145887
0.8283,10,52.90137955769578
0.8331999999999999,10,53.1966095165997
0.8381000000000001,10,53.49137930529252
0.843,10,53.78568821549994
0.8479,10,54.079537187359705
0.8528,10,54.37292896295149
0.8576999999999999,10,54.665868234665105
0.8626,10,54.95836178160116
0.8674999999999999,10,55.250418584686386
0.8724000000000001,10,55.542049907877534
0.8773,10,55.83326932848094
0.8822,10,56.12409269397924
0.8871,10,56.41453797539906
0.892,10,56.704624977834875
0.8969,10,56.99437485667238
0.9017999999999999,10,57.283809372899995
0.9067000000000001,10,57.57294980219609
0.9116,10,57.86181539014993
0.9165,10,58.15042122072791
0.9214,10,58.43877533934691
0.9263,10,58.72687495164091
0.9312,10,59.014701516983216
0.9360999999999999,10,59.302214597997164
0.9410000000000001,10,59.58934446401793
0.9459,10,59.875983772926176
0.9508,10,60.161979346901965
0.9557,10,60.447126424148905
0.9606,10,60.73117033351604
0.9655,10,61.01382509580384
0.9703999999999999,10,61.29482593440333
0.9753000000000001,10,61.5740432485912
0.9802,10,61.85169563682335
0.9851,10,62.12869537125455
0.99,10,62.407122949965405
0.5,100,32.4999999999783
0.5049,100,32.80869999997852
0.5098,100,33.11740000000133
0.5147,100,33.42610000002171
0.5196,100,33.73480000000066
0.5245,100,34.043500000021915
0.5294,100,34.35220000000092
0.5343,100,34.66090000000088
0.5392,100,34.96960000002048
0.5441,100,35.27830000000009
0.549,100,35.58699999999999
0.5539,100,35.89570000001941
0.5588,100,36.20440000000012
0.5637,100,36.51309999996155
0.5686,100,36.82179999999818
0.5735,100,37.130499999988345
0.5784,100,37.43920000000601
0.5833,100,37.74789999997603
0.5882000000000001,100,38.056599999982616
0.5931,100,38.36529999998738
0.598,100,38.67399999999062
0.6029,100,38.98269999997279
0.6078,100,39.291399999977294
0.6127,100,39.60009999995855
0.6176,100,39.9087999999315
0.6225,100,40.21749999985963
0.6274,100,40.52619999985298
0.6323,100,40.834899999764566
0.6372,100,41.143599999633814
0.6421,100,41.452299999478434
0.647,100,41.76099999922361
0.6519,100,42.06969999890108
0.6568,100,42.378399998423674
0.6617,100,42.68709999778293
0.6666,100,42.995799996830726
0.6715,100,43.30449999551686
0.6764,100,43.6131999936579
0.6813,100,43.92189999103553
0.6862,100,44.2305999873953
0.6911,100,44.53929998229274
0.696,100,44.84799997516412
0.7009,100,45.15669996523061
0.7058,100,45.46539995143414
0.7107,100,45.774099932301766
0.7156,100,46.08279990578958
0.7205,100,46.3914998691665
0.7254,100,46.7001998186463
0.7303,100,47.00889974907988
0.7352,100,47.317599653461535
0.7401,100,47.62629952228319
0.745,100,47.93499934257845
0.7499,100,48.2436990968762
0.7547999999999999,100,48.55239876153401
0.7597,100,48.86109830456564
0.7646,100,49.16979768296906
0.7695000000000001,100,49.47849683877884
0.7744,100,49.787195694215505
0.7793,100,50.09589414494017
0.7842,100,50.40459205120853
0.7890999999999999,100,50.713289226235126
0.794,100,51.02198542067197
0.7988999999999999,100,51.33068030224004
0.8038000000000001,100,51.639373428720184
0.8087,100,51.948064212575666
0.8136,100,52.256751874333474
0.8185,100,52.56543538142928
0.8233999999999999,100,52.874113368096936
0.8283,100,53.18278403045002
0.8331999999999999,100,53.491444989476975
