p,n,random
0.5,1,31.500000000000007
0.5049,1,31.503025259999966
0.5098,1,31.512101039999894
0.5147,1,31.52722734000004
0.5196,1,31.548404160000125
0.5245,1,31.57563149999991
0.5294,1,31.608909359999963
0.5343,1,31.64823773999997
0.5392,1,31.693616639999902
0.5441,1,31.74504606000001
0.549,1,31.802526000000018
0.5539,1,31.86605646000006
0.5588,1,31.935637439999986
0.5637,1,32.01126894000003
0.5686,1,32.092950959999946
0.5735,1,32.18068349999988
0.5784,1,32.27446656000008
0.5833,1,32.374300140000045
0.5882000000000001,1,32.48018424000013
0.5931,1,32.5921188600001
0.598,1,32.710103999999966
0.6029,1,32.834139659999934
0.6078,1,32.96422583999985
0.6127,1,33.100362540000106
0.6176,1,33.24254976000015
0.6225,1,33.39078750000003
0.6274,1,33.545075759999975
0.6323,1,33.705414540000035
0.6372,1,33.87180384000001
0.6421,1,34.04424366000012
0.647,1,34.222734000000074
0.6519,1,34.40727485999989
0.6568,1,34.59786623999998
0.6617,1,34.794508140000005
0.6666,1,34.99720056000007
0.6715,1,35.205943499999904
0.6764,1,35.420736960000035
0.6813,1,35.64158094000007
0.6862,1,35.86847543999995
0.6911,1,36.10142046000003
0.696,1,36.34041600000005
0.7009,1,36.58546205999994
0.7058,1,36.83655864000002
0.7107,1,37.09370574000005
0.7156,1,37.356903359999954
0.7205,1,37.626151500000006
0.7254,1,37.90145016
0.7303,1,38.18279934000009
0.7352,1,38.47019904000003
0.7401,1,38.7636492600001
0.745,1,39.063150000000014
0.7499,1,39.36870125999983
0.7547999999999999,1,39.680303040000055
0.7597,1,39.99795534000006
0.7646,1,40.32165815999996
0.7695000000000001,1,40.65141149999999
0.7744,1,40.98721535999998
0.7793,1,41.32906973999999
0.7842,1,41.6769746399999
0.7890999999999999,1,42.03093006000009
0.794,1,42.39093600000011
0.7988999999999999,1,42.75699246000005
0.8038000000000001,1,43.12909943999991
0.8087,1,43.507256939999976
0.8136,1,43.89146495999991
0.8185,1,44.28172350000015
0.8233999999999999,1,44.67803255999995
0.8283,1,45.08039214000003
0.8331999999999999,1,45.48880224000007
0.8381000000000001,1,45.903262859999984
0.843,1,46.323774
0.8479,1,46.75033566000008
0.8528,1,47.182947840000104
0.8576999999999999,1,47.62161053999999
0.8626,1,48.066323759999975
0.8674999999999999,1,48.51708750000008
0.8724000000000001,1,48.9739017599999
0.8773,1,49.43676653999983
0.8822,1,49.90568183999997
0.8871,1,50.380647660000186
0.892,1,50.86166400000006
0.8969,1,51.34873085999981
0.9017999999999999,1,51.84184823999989
0.9067000000000001,1,52.34101613999986
0.9116,1,52.84623456
0.9165,1,53.35750349999997
0.9214,1,53.87482295999994
0.9263,1,54.39819293999997
0.9312,1,54.92761343999996
0.9360999999999999,1,55.46308446
0.9410000000000001,1,56.004605999999974
0.9459,1,56.55217805999996
0.9508,1,57.10580063999986
0.9557,1,57.66547373999994
0.9606,1,58.23119735999987
0.9655,1,58.80297150000003
0.9703999999999999,1,59.380796160000024
0.9753000000000001,1,59.96467134000001
0.9802,1,60.55459704000003
0.9851,1,61.150573259999994
0.99,1,61.75259999999985
0.5,10,37.5868170169425
0.5049,10,37.58952140597723
0.5098,10,37.59763448592373
0.5147,10,37.611155995180155
0.5196,10,37.6300854973194
0.5245,10,37.654422380451074
0.5294,10,37.68416585633351
0.5343,10,37.719314959208425
0.5392,10,37.75986854438724
0.5441,10,37.805825286560214
0.549,10,37.85718367782788
0.5539,10,37.91394202545762
0.5588,10,37.97609844934051
0.5637,10,38.04365087915627
0.5686,10,38.11659705122315
0.5735,10,38.19493450503199
0.5784,10,38.278660579442
0.5833,10,38.36777240852627
0.5882000000000001,10,38.46226691706711
0.5931,10,38.562140815651055
0.598,10,38.6673905953825
0.6029,10,38.77801252216591
0.6078,10,38.89400263054746
0.6127,10,39.015356717092885
0.6176,10,39.142070333262026
0.6225,10,39.2741387777692
0.6274,10,39.41155708837769
0.6323,10,39.55432003310365
0.6372,10,39.70242210078689
0.6421,10,39.85585749099037
0.647,10,40.014620103171396
0.6519,10,40.17870352508562
0.6568,10,40.34810102036356
0.6617,10,40.52280551518249
0.6666,10,40.702809583998835
0.6715,10,40.88810543423308
0.6764,10,41.078684889848944
0.6813,10,41.27453937371745
0.6862,10,41.475659888686714
0.6911,10,41.682036997232316
0.696,10,41.893660799567144
0.7009,10,42.11052091008847
0.7058,10,42.33260643200123
0.7107,10,42.55990592995213
0.7156,10,42.792407400497886
0.7205,10,43.03009824019754
0.7254,10,43.27296521109586
0.7303,10,43.52099440334453
0.7352,10,43.77417119467599
0.7401,10,44.032480206403534
0.745,10,44.29590525558008
0.7499,10,44.564429302916146
0.7547999999999999,10,44.83803439598346
0.7597,10,45.11670160718032
0.7646,10,45.40041096587205
0.7695000000000001,10,45.68914138401356
0.7744,10,45.98287057448637
0.7793,10,46.28157496126051
0.7842,10,46.58522958036375
0.7890999999999999,10,46.89380797047929
0.794,10,47.2072820518123
0.7988999999999999,10,47.52562199166589
0.8038000000000001,10,47.84879605487466
0.8087,10,48.1767704369754
0.8136,10,48.50950907758916
0.8185,10,48.84697345108399
0.8233999999999999,10,49.18912233100392
0.8283,10,49.53591152414052
0.8331999999999999,10,49.88729356927543
0.8381000000000001,10,50.24321739467426
0.843,10,50.60362792716161
0.8479,10,50.96846564408353
0.8528,10,51.33766605755648
0.8576999999999999,10,51.711159117965096
0.8626,10,52.08886852056963
0.8674999999999999,10,52.47071089511724
0.8724000000000001,10,52.85659485315673
0.8773,10,53.24641986099193
0.8822,10,53.64007489718926
0.8871,10,54.03743684149965
0.892,10,54.43836852562528
0.8969,10,54.842716353656144
0.9017999999999999,10,55.250307368390914
0.9067000000000001,10,55.660945594498585
0.9116,10,56.074407422666134
0.9165,10,56.490435700053325
0.9214,10,56.90873205262783
0.9263,10,57.32894675573729
0.9312,10,57.75066503922965
0.9360999999999999,10,58.173387753056424
0.9410000000000001,10,58.59650306599899
0.9459,10,59.01924624069439
0.9508,10,59.44064560361313
0.9557,10,59.85943222935183
0.9606,10,60.27379911383139
0.9655,10,60.68076594914036
0.9703999999999999,10,61.075100457889036
0.9753000000000001,10,61.44883970490599
0.9802,10,61.793874346567165
0.9851,10,62.108535082886625
0.99,10,62.40229468977591
0.5,100,41.373480454473274
0.5049,100,41.3759497777924
0.5098,100,41.383357601401556
0.5147,100,41.39570348601994
0.5196,100,41.412986698800054
0.5245,100,41.4352062122365
0.5294,100,41.462360702709624
0.5343,100,41.494448548443884
0.5392,100,41.531467827152106
0.5441,100,41.5734163131792
0.549,100,41.62029147415707
0.5539,100,41.672090467266585
0.5588,100,41.72881013492143
0.5637,100,41.79044700001847
0.5686,100,41.856997260602775
0.5735,100,41.928456784043696
0.5784,100,42.00482110059021
0.5833,100,42.08608539633354
0.5882000000000001,100,42.17224450565848
0.5931,100,42.26329290288854
0.598,100,42.359224693413346
0.6029,100,42.46003360400205
0.6078,100,42.56571297238595
0.6127,100,42.676255736089104
0.6176,100,42.791654420346255
0.6225,100,42.91190112520803
0.6274,100,43.0369875116511
0.6323,100,43.16690478668027
0.6372,100,43.30164368736123
0.6421,100,43.44119446372633
0.647,100,43.58554686040591
0.6519,100,43.73469009697472
0.6568,100,43.888612846915976
0.6617,100,44.047303214936576
0.6666,100,44.21074871280458
0.6715,100,44.37893623330936
0.6764,100,44.551852022372834
0.6813,100,44.729481649032756
0.6862,100,44.911809973255245
0.6911,100,45.09882111129369
0.696,100,45.29049839836384
0.7009,100,45.48682434851191
0.7058,100,45.687780611313826
0.7107,100,45.893347925131856
0.7156,100,46.10350606664235
0.7205,100,46.31823379627529
0.7254,100,46.53750879909762
0.7303,100,46.76130762074336
0.7352,100,46.98960559788705
0.7401,100,47.222376782674054
0.745,100,47.45959386042512
0.7499,100,47.701228059972706
0.7547999999999999,100,47.94724905572238
0.7597,100,48.19762486051931
0.7646,100,48.45232170831516
0.7695000000000001,100,48.71130392531226
0.7744,100,48.97453378825871
0.7793,100,49.241971368255506
0.7842,100,49.513574358251965
0.7890999999999999,100,49.789297882048515
0.794,100,50.06909428230757
0.7988999999999999,100,50.35291288477133
0.8038000000000001,100,50.64069973514574
0.8087,100,50.932397304813954
0.8136,100,51.22794416052292
0.8185,100,51.52727459264838
0.8233999999999999,100,51.8303181952194
0.8283,100,52.13699938992721
0.8331999999999999,100,52.447236884364365
0.8381000000000001,100,52.76094305303409
0.843,100,53.078023226918155
0.8479,100,53.398374874216145
0.8528,100,53.72188665075566
0.8576999999999999,100,54.048437292742726
0.8626,100,54.377894317325925
0.8674999999999999,100,54.71011249043289
0.8724000000000001,100,55.04493201652451
0.8773,100,55.38217638289812
0.8822,100,55.721649704635865
0.8871,100,56.06313327579624
0.892,100,56.40638109151623
0.8969,100,56.75111481854169
0.9017999999999999,100,57.097019828526605
0.9067000000000001,100,57.443743129514864
0.9116,100,57.79088748869516
0.9165,100,58.13798408629351
0.9214,100,58.48442114742387
0.9263,100,58.8293301283489
0.9312,100,59.17149134571589
0.9360999999999999,100,59.50937810996514
0.9410000000000001,100,59.841432647225346
0.9459,100,60.166508637846555
0.9508,100,60.484179943816166
0.9557,100,60.79450624070581
0.9606,100,61.09720387070063
0.9655,100,61.39088826911539
0.9703999999999999,100,61.67299008116464
0.9753000000000001,100,61.93995177404691
0.9802,100,62.1872237487413
0.9851,100,62.40946346308824
0.99,100,62.60258896595515
0.5,1000,44.1920909255614
0.5049,1000,44.194371599881116
0.5098,1000,44.20121341675678
0.5147,1000,44.21261576032756
0.5196,1000,44.228577612578704
0.5245,1000,44.24909756405679
0.5294,1000,44.274173825713916
0.5343,1000,44.30380423624533
0.5392,1000,44.337986263637205
0.5441,1000,44.37671699812817
0.549,1000,44.41999313834973
0.5539,1000,44.46781097568556
0.5588,1000,44.52016637994694
0.5637,1000,44.577054790202496
0.5686,1000,44.638471209330966
0.5735,1000,44.70441020086713
0.5784,1000,44.77486588433393
0.5833,1000,44.84983192803491
0.5882000000000001,1000,44.92930154006705
0.5931,1000,45.01326745616578
0.598,1000,45.10172192789966
0.6029,1000,45.19465670936823
0.6078,1000,45.292063043329996
0.6127,1000,45.393931646872524
0.6176,1000,45.500252695299515
0.6225,1000,45.61101580548828
0.6274,1000,45.7262100176734
0.6323,1000,45.84582377582163
0.6372,1000,45.969844906731794
0.6421,1000,46.09826059774399
0.647,1000,46.2310573725644
0.6519,1000,46.368221065534826
0.6568,1000,46.50973679442602
0.6617,1000,46.65558893010855
0.6666,1000,46.80576106546225
0.6715,1000,46.96023598105617
0.6764,1000,47.118995608827404
0.6813,1000,47.282020992569116
0.6862,1000,47.449292246028804
0.6911,1000,47.620788507678974
0.696,1000,47.7964878916448
0.7009,1000,47.97636743549976
0.7058,1000,48.16040304367322
0.7107,1000,48.348569426316246
0.7156,1000,48.540840033374224
0.7205,1000,48.73718698359792
0.7254,1000,48.93758098727237
0.7303,1000,49.141991262633475
0.7352,1000,49.350385445355755
0.7401,1000,49.56272949014905
0.745,1000,49.77898756349632
0.7499,1000,49.999121927203944
0.7547999999999999,1000,50.22309281109945
0.7597,1000,50.45085827358221
0.7646,1000,50.68237404955152
0.7695000000000001,1000,50.9175933836428
0.7744,1000,51.15646684656316
0.7793,1000,51.398942132614934
0.7842,1000,51.64496383747641
0.7890999999999999,1000,51.894473211952594
0.794,1000,52.1474078884784
0.7988999999999999,1000,52.40370157864543
0.8038000000000001,1000,52.66328373566619
0.8087,1000,52.926079178089246
0.8136,1000,53.192007668229465
0.8185,1000,53.460983439761144
0.8233999999999999,1000,53.73291466532392
0.8283,1000,54.00770285624899
0.8331999999999999,1000,54.2852421818517
0.8381000000000001,1000,54.5654186963873
0.843,1000,54.84810945717972
0.8479,1000,55.133181514888584
0.8528,1000,55.420490754201104
0.8576999999999999,1000,55.70988055880776
0.8626,1000,56.00118026534995
0.8674999999999999,1000,56.29420335211721
0.8724000000000001,1000,56.58874527662087
0.8773,1000,56.884580869673755
0.8822,1000,57.181461267707355
0.8871,1000,57.479110570924036
0.892,1000,57.777222674558786
0.8969,1000,58.075458793309494
0.9017999999999999,1000,58.37344581029584
0.9067000000000001,1000,58.670774683579836
0.9116,1000,58.966997280839124
0.9165,1000,59.2616198514212
0.9214,1000,59.55409103269943
0.9263,1000,59.84378301562887
0.9312,1000,60.129971629016254
0.9360999999999999,1000,60.41182438010911
0.9410000000000001,1000,60.6883833727352
0.9459,1000,60.95852038298174
0.9508,1000,61.22087780953107
0.9557,1000,61.473849326182346
0.9606,1000,61.71566528163308
0.9655,1000,61.944595202070644
0.9703999999999999,1000,62.159179443047655
0.9753000000000001,1000,62.358344957427576
0.9802,1000,62.541206613931635
0.9851,1000,62.70606578052818
0.99,1000,62.847518738488674
0.5,10000,46.491389439179464
0.5049,10000,46.493508655353175
0.5098,10000,46.499866136906704
0.5147,10000,46.51046133228847
0.5196,10000,46.52529318795743
0.5245,10000,46.544360021280845
0.5294,10000,46.56765946025172
0.5343,10000,46.59518847409551
0.5392,10000,46.62694349965219
0.5441,10000,46.66292059513027
0.549,10000,46.703115550777326
0.5539,10000,46.74752391594733
0.5588,10000,46.796140930969955
0.5637,10000,46.84896141387448
0.5686,10000,46.90597964739473
0.5735,10000,46.967189313572376
0.5784,10000,47.03258347393509
0.5833,10000,47.10215458283537
0.5882000000000001,10000,47.17589451494206
0.5931,10000,47.25379457101343
0.598,10000,47.33584547973333
0.6029,10000,47.4220373817263
0.6078,10000,47.51235980934919
0.6127,10000,47.60680167056073
0.6176,10000,47.70535122598369
0.6225,10000,47.807996071236666
0.6274,10000,47.9147231156188
0.6323,10000,48.02551855805422
0.6372,10000,48.14036786280848
0.6421,10000,48.25925573391317
0.647,10000,48.3821660860757
0.6519,10000,48.50908201425705
0.6568,10000,48.63998576488541
0.6617,10000,48.77485869472229
0.6666,10000,48.91368123922666
0.6715,10000,49.05643287019999
0.6764,10000,49.203092054999885
0.6813,10000,49.35363620821631
0.6862,10000,49.50804164461212
0.6911,10000,49.66628352705376
0.696,10000,49.82833580697855
0.7009,10000,49.99417116604286
0.7058,10000,50.163760950253156
0.7107,10000,50.33707509876139
0.7156,10000,50.514082067173526
0.7205,10000,50.69474874780089
0.7254,10000,50.87904037940834
0.7303,10000,51.066920450876964
0.7352,10000,51.25835059897032
0.7401,10000,51.453290497157695
0.745,10000,51.651697730658505
0.7499,10000,51.85352765756684
0.7547999999999999,10000,52.05873327012266
0.7597,10000,52.26726506663454
0.7646,10000,52.47907087402919
0.7695000000000001,10000,52.694095585100385
0.7744,10000,52.91228096410738
0.7793,10000,53.133565555414364
0.7842,10000,53.35788441883979
0.7890999999999999,10000,53.58516869289394
0.794,10000,53.81534534746151
0.7988999999999999,10000,54.04833700520104
0.8038000000000001,10000,54.284061494908215
0.8087,10000,54.52243138160045
0.8136,10000,54.76335360511154
0.8185,10000,55.00672899234383
0.8233999999999999,10000,55.252451668976036
0.8283,10000,55.50040848548806
0.8331999999999999,10000,55.75047833729345
0.8381000000000001,10000,56.00253140518996
0.843,10000,56.25642832969164
0.8479,10000,56.51201926328953
0.8528,10000,56.76914284171171
0.8576999999999999,10000,57.02762501485851
0.8626,10000,57.2872777264177
0.8674999999999999,10000,57.547897574468614
0.8724000000000001,10000,57.80926410695461
0.8773,10000,58.07113818170641
0.8822,10000,58.333260188506905
0.8871,10000,58.59534740125196
0.892,10000,58.857092114920235
0.8969,10000,59.11815747411475
0.9017999999999999,10000,59.37816950069223
0.9067000000000001,10000,59.63670494235235
0.9116,10000,59.89326518114817
0.9165,10000,60.14725628349625
0.9214,10000,60.398017525279656
0.9263,10000,60.644865986230435
0.9312,10000,60.887074685368574
0.9360999999999999,10000,61.12379315844166
0.9410000000000001,10000,61.35398954146087
0.9459,10000,61.576431845416
0.9508,10000,61.78967273519814
0.9557,10000,61.99202303032052
0.9606,10000,62.18151266369097
0.9655,10000,62.35581791608157
0.9703999999999999,10000,62.51213547524424
0.9753000000000001,10000,62.64710321270797
0.9802,10000,62.757244830957355
0.9851,10000,62.84113701201441
0.99,10000,62.904646127867
0.5,100000,48.45815097772501
0.5049,100000,48.46013302156725
0.5098,100000,48.46607774097332
0.5147,100000,48.47598111762378
0.5196,100000,48.489837219972834
0.5245,100000,48.50763917772913
0.5294,100000,48.529380269741026
0.5343,100000,48.55505473812762
0.5392,100000,48.584658224787944
0.5441,100000,48.6181876327507
0.549,100000,48.65564050681261
0.5539,100000,48.69701423058383
0.5588,100000,48.742305268197164
0.5637,100000,48.791508754892625
0.5686,100000,48.84461842273937
0.5735,100000,48.90162683777289
0.5784,100000,48.962525686192905
0.5833,100000,49.02730600416652
0.5882000000000001,100000,49.095958335633284
0.5931,100000,49.16847268297365
0.598,100000,49.24483849115426
0.6029,100000,49.3250445683778
0.6078,100000,49.40907902173182
0.6127,100000,49.496929261226214
0.6176,100000,49.58858194742429
0.6225,100000,49.68402299175529
0.6274,100000,49.78323753478203
0.6323,100000,49.886209910713085
0.6372,100000,49.99292362318808
0.6421,100000,50.103361320648986
0.647,100000,50.217504760300194
0.6519,100000,50.33533477027082
0.6568,100000,50.45683124603316
0.6617,100000,50.58197305589531
0.6666,100000,50.71073804740183
0.6715,100000,50.8431029806889
0.6764,100000,50.97904349888435
0.6813,100000,51.11853405480998
0.6862,100000,51.26154787556842
0.6911,100000,51.4080569095765
0.696,100000,51.558031740121386
0.7009,100000,51.711441541478806
0.7058,100000,51.86825400370527
0.7107,100000,52.028435253338436
0.7156,100000,52.19194976320014
0.7205,100000,52.35876028512971
0.7254,100000,52.5288277411134
0.7303,100000,52.70211111663624
0.7352,100000,52.878567358177136
0.7401,100000,53.05815125763278
0.745,100000,53.24081533638748
0.7499,100000,53.42650971723232
0.7547999999999999,100000,53.615181884054515
0.7597,100000,53.806776370929605
0.7646,100000,54.00123475262223
0.7695000000000001,100000,54.198496044721125
0.7744,100000,54.39849657789857
0.7793,100000,54.60116845947262
0.7842,100000,54.80643836084164
0.7890999999999999,100000,55.014229010817054
0.794,100000,55.22446114650193
0.7988999999999999,100000,55.43705163492986
0.8038000000000001,100000,55.65190991151548
0.8087,100000,55.868938632465685
0.8136,100000,56.088036544610546
0.8185,100000,56.30909734536409
0.8233999999999999,100000,56.53200631500431
0.8283,100000,56.75664057794439
0.8331999999999999,100000,56.9828705657249
0.8381000000000001,100000,57.21055815809475
0.843,100000,57.439554549565756
0.8479,100000,57.66970101658848
0.8528,100000,57.90082846550534
0.8576999999999999,100000,58.132754076041294
0.8626,100000,58.365280330248794
0.8674999999999999,100000,58.59819646483434
0.8724000000000001,100000,58.83127405472077
0.8773,100000,59.06425585688036
0.8822,100000,59.29685027741814
0.8871,100000,59.52874142806674
0.892,100000,59.75960395804559
0.8969,100000,59.98909338565949
0.9017999999999999,100000,60.21679262275175
0.9067000000000001,100000,60.442137368183154
0.9116,100000,60.664380055053726
0.9165,100000,60.88262826770901
0.9214,100000,61.09592498563284
0.9263,100000,61.3033031743031
0.9312,100000,61.503776772060775
0.9360999999999999,100000,61.69628616674325
0.9410000000000001,100000,61.879646333062944
0.9459,100000,62.05253194204816
0.9508,100000,62.2135053378521
0.9557,100000,62.36108676597584
0.9606,100000,62.493886996672764
0.9655,100000,62.6108494772315
0.9703999999999999,100000,62.711636819088554
0.9753000000000001,100000,62.79704161060298
0.9802,100000,62.86886635215049
0.9851,100000,62.92820111171423
0.99,100000,62.9718747981422
0.5,1000000,50.18677828552037
0.5049,1000000,50.188643448109055
0.5098,1000000,50.19423613870445
0.5147,1000000,50.203548108152766
0.5196,1000000,50.21656679129316
0.5245,1000000,50.23327696754051
0.5294,1000000,50.25366317289092
0.5343,1000000,50.27771161907876
0.5392,1000000,50.305412110251595
0.5441,1000000,50.33675872823645
0.549,1000000,50.37174921025253
0.5539,1000000,50.41038356755343
0.5588,1000000,50.45266196326509
0.5637,1000000,50.49858314820301
0.5686,1000000,50.548143331859485
0.5735,1000000,50.60133625173958
0.5784,1000000,50.65815348215253
0.5833,1000000,50.71858500335719
0.5882000000000001,1000000,50.78262012638594
0.5931,1000000,50.85024739421504
0.598,1000000,50.921454987695384
0.6029,1000000,50.996230538622655
0.6078,1000000,51.074560853378735
0.6127,1000000,51.15643213971354
0.6176,1000000,51.2418296719587
0.6225,1000000,51.33073793456673
0.6274,1000000,51.42314060330171
0.6323,1000000,51.5190204378665
0.6372,1000000,51.618359281582265
0.6421,1000000,51.72113805671228
0.647,1000000,51.82733670914125
0.6519,1000000,51.93693411440823
0.6568,1000000,52.04990832474468
0.6617,1000000,52.16623604652848
0.6666,1000000,52.285892995673194
0.6715,1000000,52.40885365507421
0.6764,1000000,52.535091375594114
0.6813,1000000,52.664578119196584
0.6862,1000000,52.79728456467257
0.6911,1000000,52.933180076242174
0.696,1000000,53.07223243225259
0.7009,1000000,53.214407944153045
0.7058,1000000,53.359671337840574
0.7107,1000000,53.507985668508354
0.7156,1000000,53.65931214392523
0.7205,1000000,53.81361021733795
0.7254,1000000,53.97083736914633
0.7303,1000000,54.13094897487508
0.7352,1000000,54.29389826259768
0.7401,1000000,54.45963618373599
0.745,1000000,54.62811127615331
0.7499,1000000,54.79926954005928
0.7547999999999999,1000000,54.9730541499978
0.7597,1000000,55.149405040756065
0.7646,1000000,55.328258777974554
0.7695000000000001,1000000,55.509549207934185
0.7744,1000000,55.69320874439109
0.7793,1000000,55.879167912897465
0.7842,1000000,56.06735104128535
0.7890999999999999,1000000,56.25767140369072
0.794,1000000,56.45003364460195
0.7988999999999999,1000000,56.644344813327585
0.8038000000000001,1000000,56.8405204578772
0.8087,1000000,57.03847360096415
0.8136,1000000,57.23809560540183
0.8185,1000000,57.43925471552432
0.8233999999999999,1000000,57.64181743738951
0.8283,1000000,57.8456658358189
0.8331999999999999,1000000,58.05068366218565
0.8381000000000001,1000000,58.25672634468409
0.843,1000000,58.46361421477974
