n,k,p,q,r,wp
1,1,0.75,0,0.5,0.00206059998635377
1,10,0.75,0,0.5,2.2048258918605515e-7
1,100,0.75,0,0.5,1.6894075027806818e-10
1,1000,0.75,0,0.5,3.558264793923627e-13
1,10000,0.75,0,0.5,-2.2164492463616625e-12
1,100000,0.75,0,0.5,-2.2204682537108056e-11
1,1000000,0.75,0,0.5,-2.2204482696963623e-10
1,10000000,0.75,0,0.5,-2.220446271294918e-9
1,100000000,0.75,0,0.5,-2.220446093659234e-8
10,1,0.75,0,0.5,0.00206059998635377
10,10,0.75,0,0.5,2.2048258918605515e-7
10,100,0.75,0,0.5,1.6894075027806818e-10
10,1000,0.75,0,0.5,3.558264793923627e-13
10,10000,0.75,0,0.5,-2.2164492463616625e-12
10,100000,0.75,0,0.5,-2.2204682537108056e-11
10,1000000,0.75,0,0.5,-2.2204482696963623e-10
10,10000000,0.75,0,0.5,-2.220446271294918e-9
10,100000000,0.75,0,0.5,-2.220446093659234e-8
100,1,0.75,0,0.5,0.00206059998635377
100,10,0.75,0,0.5,2.2048258918605515e-7
100,100,0.75,0,0.5,1.6894075027806818e-10
100,1000,0.75,0,0.5,3.558264793923627e-13
100,10000,0.75,0,0.5,-2.2164492463616625e-12
100,100000,0.75,0,0.5,-2.2204682537108056e-11
100,1000000,0.75,0,0.5,-2.2204482696963623e-10
100,10000000,0.75,0,0.5,-2.220446271294918e-9
100,100000000,0.75,0,0.5,-2.220446093659234e-8
1000,1,0.75,0,0.5,0.00206059998635377
1000,10,0.75,0,0.5,2.2048258918605515e-7
1000,100,0.75,0,0.5,1.6894075027806818e-10
1000,1000,0.75,0,0.5,3.558264793923627e-13
1000,10000,0.75,0,0.5,-2.2164492463616625e-12
1000,100000,0.75,0,0.5,-2.2204682537108056e-11
1000,1000000,0.75,0,0.5,-2.2204482696963623e-10
1000,10000000,0.75,0,0.5,-2.220446271294918e-9
1000,100000000,0.75,0,0.5,-2.220446093659234e-8
10000,1,0.75,0,0.5,0.00206059998635377
10000,10,0.75,0,0.5,2.2048258918605515e-7
10000,100,0.75,0,0.5,1.6894075027806818e-10
10000,1000,0.75,0,0.5,3.558264793923627e-13
10000,10000,0.75,0,0.5,-2.2164492463616625e-12
10000,100000,0.75,0,0.5,-2.2204682537108056e-11
10000,1000000,0.75,0,0.5,-2.2204482696963623e-10
10000,10000000,0.75,0,0.5,-2.220446271294918e-9
10000,100000000,0.75,0,0.5,-2.220446093659234e-8
100000,1,0.75,0,0.5,0.00206059998635377
100000,10,0.75,0,0.5,2.2048258918605515e-7
100000,100,0.75,0,0.5,1.6894075027806818e-10
100000,1000,0.75,0,0.5,3.558264793923627e-13
100000,10000,0.75,0,0.5,-2.2164492463616625e-12
100000,100000,0.75,0,0.5,-2.2204682537108056e-11
100000,1000000,0.75,0,0.5,-2.2204482696963623e-10
100000,10000000,0.75,0,0.5,-2.220446271294918e-9
100000,100000000,0.75,0,0.5,-2.220446093659234e-8
1000000,1,0.75,0,0.5,0.00206059998635377
1000000,10,0.75,0,0.5,2.2048258918605515e-7
1000000,100,0.75,0,0.5,1.6894075027806818e-10
1000000,1000,0.75,0,0.5,3.558264793923627e-13
1000000,10000,0.75,0,0.5,-2.2164492463616625e-12
1000000,100000,0.75,0,0.5,-2.2204682537108056e-11
1000000,1000000,0.75,0,0.5,-2.2204482696963623e-10
1000000,10000000,0.75,0,0.5,-2.220446271294918e-9
1000000,100000000,0.75,0,0.5,-2.220446093659234e-8
10000000,1,0.75,0,0.5,0.00206059998635377
10000000,10,0.75,0,0.5,2.2048258918605515e-7
10000000,100,0.75,0,0.5,1.6894075027806818e-10
10000000,1000,0.75,0,0.5,3.558264793923627e-13
10000000,10000,0.75,0,0.5,-2.2164492463616625e-12
10000000,100000,0.75,0,0.5,-2.2204682537108056e-11
10000000,1000000,0.75,0,0.5,-2.2204482696963623e-10
10000000,10000000,0.75,0,0.5,-2.220446271294918e-9
10000000,100000000,0.75,0,0.5,-2.220446093659234e-8
100000000,1,0.75,0,0.5,0.00206059998635377
100000000,10,0.75,0,0.5,2.2048258918605515e-7
100000000,100,0.75,0,0.5,1.6894075027806818e-10
100000000,1000,0.75,0,0.5,3.558264793923627e-13
100000000,10000,0.75,0,0.5,-2.2164492463616625e-12
100000000,100000,0.75,0,0.5,-2.2204682537108056e-11
100000000,1000000,0.75,0,0.5,-2.2204482696963623e-10
100000000,10000000,0.75,0,0.5,-2.220446271294918e-9
100000000,100000000,0.75,0,0.5,-2.220446093659234e-8
1,1,0.75,0.05,0.5,0.00546487703859777
1,10,0.75,0.05,0.5,1.992925647620325e-6
1,100,0.75,0.05,0.5,3.090918299086809e-9
1,1000,0.75,0.05,0.5,1.6321721751921814e-11
1,10000,0.75,0.05,0.5,-2.05302441713684e-12
1,100000,0.75,0.05,0.5,-2.220179595724403e-11
1,1000000,0.75,0.05,0.5,-2.2204438288042638e-10
1,10000000,0.75,0.05,0.5,-2.220445827205708e-9
1,100000000,0.75,0.05,0.5,-2.220446049250313e-8
10,1,0.75,0.05,0.5,0.01783881599455161
10,10,0.75,0.05,0.5,1.4209606701176549e-5
10,100,0.75,0.05,0.5,2.6964028010389995e-8
10,1000,0.75,0.05,0.5,1.5418899490526883e-10
10,10000,0.75,0.05,0.5,-6.070699498650356e-13
10,100000,0.75,0.05,0.5,-2.2177149006097352e-11
10,1000000,0.75,0.05,0.5,-2.2204105221135248e-10
10,10000000,0.75,0.05,0.5,-2.220442940625844e-9
10,100000000,0.75,0.05,0.5,-2.2204457605923267e-8
100,1,0.75,0.05,0.5,0.04056154282372271
100,10,0.75,0.05,0.5,7.319833206609339e-5
100,100,0.75,0.05,0.5,1.9129256534355934e-7
100,1000,0.75,0.05,0.5,1.258640192070004e-9
100,10000,0.75,0.05,0.5,1.1962764112638524e-11
100,100000,0.75,0.05,0.5,-2.1949109196839345e-11
100,1000000,0.75,0.05,0.5,-2.2200707938679895e-10
100,10000000,0.75,0.05,0.5,-2.2204127425595743e-9
100,100000000,0.75,0.05,0.5,-2.2204427629901602e-8
1000,1,0.75,0.05,0.5,0.07511468010346789
1000,10,0.75,0.05,0.5,2.884755860306232e-4
1000,100,0.75,0.05,0.5,1.0884183424542115e-6
1000,1000,0.75,0.05,0.5,8.631281245286004e-9
1000,10000,0.75,0.05,0.5,1.0678358197679927e-10
1000,100000,0.75,0.05,0.5,-2.002864540884275e-11
1000,1000000,0.75,0.05,0.5,-2.2167334634559663e-10
1000,10000000,0.75,0.05,0.5,-2.2201123162091108e-9
1000,100000000,0.75,0.05,0.5,-2.2204127869684953e-8
10000,1,0.75,0.05,0.5,0.12215152593959366
10000,10,0.75,0.05,0.5,9.279265878670008e-4
10000,100,0.75,0.05,0.5,5.1140853490894145e-6
10000,1000,0.75,0.05,0.5,4.99716751312107e-8
10000,10000,0.75,0.05,0.5,7.233653676053108e-10
10000,100000,0.75,0.05,0.5,-5.362599253544431e-12
10000,1000000,0.75,0.05,0.5,-2.1841062292082822e-10
10000,10000000,0.75,0.05,0.5,-2.217107608615265e-9
10000,100000000,0.75,0.05,0.5,-2.220113004547386e-8
100000,1,0.75,0.05,0.5,0.18121713849410304
100000,10,0.75,0.05,0.5,0.00254755060271683
100000,100,0.75,0.05,0.5,2.0429847444436433e-5
100000,1000,0.75,0.05,0.5,2.490953032729948e-7
100000,10000,0.75,0.05,0.5,4.209801840460159e-9
100000,100000,0.75,0.05,0.5,9.870437800429953e-11
100000,1000000,0.75,0.05,0.5,-1.8659274125809586e-10
100000,10000000,0.75,0.05,0.5,-2.187079850557438e-9
100000,100000000,0.75,0.05,0.5,-2.217115224745214e-8
1000000,1,0.75,0.05,0.5,0.25062579430522447
1000000,10,0.75,0.05,0.5,0.00614072066963744
