p,q1,q2,q3,q4,q5,q6,eMaxEspnScore_n=1,eMaxEspnScore_n=10,eMaxEspnScore_n=100,eMaxEspnScore_n=1000,eMaxEspnScore_n=10000,eMaxEspnScore_n=1e+05,eMaxEspnScore_n=1e+06,eMaxEspnScore_n=1e+07,eMaxEspnScore_n=1e+08
0.75,0.5,0.5,0.5,0.5,0.5,0.5,960,1297.8978650035808,1459.3775181333608,1554.459863392305,1620.461358205931,1670.4151891170975,1710.212065532827,1742.9855328395531,1770.596464057221
0.75,0.55,0.55,0.55,0.5,0.5,0.5,935.9999999999998,1273.737760977354,1435.2201278412113,1530.5604874067872,1597.0896696092598,1647.7951752864496,1688.4918589467484,1722.2464559984198,1750.874145921007
0.75,0.6,0.6,0.6,0.5,0.5,0.5,912,1249.1528994548844,1410.1434913703622,1505.2449326102326,1571.8667232482132,1622.9720858757505,1664.2971611388894,1698.829248824194,1728.323493204466
0.75,0.55,0.55,0.55,0.5,0.5,0.5,935.9999999999998,1273.737760977354,1435.2201278412113,1530.5604874067872,1597.0896696092598,1647.7951752864496,1688.4918589467484,1722.2464559984198,1750.874145921007
0.75,0.6,0.6,0.6,0.5,0.5,0.5,912,1249.1528994548844,1410.1434913703622,1505.2449326102326,1571.8667232482132,1622.9720858757505,1664.2971611388894,1698.829248824194,1728.323493204466
0.75,0.65,0.65,0.65,0.5,0.5,0.5,887.9999999999998,1224.1372102203272,1384.1173368528307,1478.4456708113205,1544.69084725395,1595.8166777087772,1637.471948509792,1672.549572525229,1702.731121144402
0.75,0.7,0.7,0.7,0.5,0.5,0.5,863.9999999999999,1198.6821293104913,1357.0963863554982,1450.0547147891257,1515.39321435676,1566.112545079918,1607.7590845384188,1643.1122321561463,1673.7655721362305
0.75,0.65,0.65,0.65,0.5,0.5,0.5,887.9999999999998,1224.1372102203272,1384.1173368528307,1478.4456708113205,1544.69084725395,1595.8166777087772,1637.471948509792,1672.549572525229,1702.731121144402
0.75,0.7,0.7,0.7,0.5,0.5,0.5,863.9999999999999,1198.6821293104913,1357.0963863554982,1450.0547147891257,1515.39321435676,1566.112545079918,1607.7590845384188,1643.1122321561463,1673.7655721362305
0.75,0.75,0.75,0.75,0.5,0.5,0.5,839.9999999999999,1172.776324195481,1329.0163420197064,1419.9069592363062,1483.7075108484398,1533.515927845211,1574.7518100547318,1610.0553048045672,1640.9150915000057
0.75,0.8,0.8,0.8,0.5,0.5,0.5,815.9999999999998,1146.4053061101608,1299.7872649278531,1387.7471847073894,1449.2073865382226,1497.47270354743,1537.7943981887986,1572.636808510016,1603.3621653403816
0.75,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.5,0.5,0.5,791.9999999999998,1119.5508942490262,1269.2825229890063,1353.1577839360637,1411.1641358179772,1457.0291933976118,1495.7559235956437,1529.577090056384,1559.698707657558
0.75,0.8,0.8,0.8,0.5,0.5,0.5,815.9999999999998,1146.4053061101608,1299.7872649278531,1387.7471847073894,1449.2073865382226,1497.47270354743,1537.7943981887986,1572.636808510016,1603.3621653403816
0.75,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.5,0.5,0.5,791.9999999999998,1119.5508942490262,1269.2825229890063,1353.1577839360637,1411.1641358179772,1457.0291933976118,1495.7559235956437,1529.577090056384,1559.698707657558
0.75,0.9,0.9,0.9,0.5,0.5,0.5,767.9999999999998,1092.1902895240146,1237.3195135261444,1315.365731308807,1368.1548061141405,1410.3107803688831,1446.405600195288,1478.3463246690908,1507.1371274007934
0.75,0.95,0.95,0.95,0.5,0.5,0.5,743.9999999999999,1064.2782317928506,1203.600194118124,1272.473689171407,1316.506789055716,1352.4511118663386,1383.9206733193064,1412.309557844627,1438.3366718373825
0.75,0.9,0.9,0.9,0.5,0.5,0.5,767.9999999999998,1092.1902895240146,1237.3195135261444,1315.365731308807,1368.1548061141405,1410.3107803688831,1446.405600195288,1478.3463246690908,1507.1371274007934
0.75,0.95,0.95,0.95,0.5,0.5,0.5,743.9999999999999,1064.2782317928506,1203.600194118124,1272.473689171407,1316.506789055716,1352.4511118663386,1383.9206733193064,1412.309557844627,1438.3366718373825
0.75,1,1,1,0.5,0.5,0.5,719.9999999999999,1033.643829300437,1161.9957299649254,1199.968606387375,1199.9999999999998,1199.9999999999998,1199.9999999999998,1199.9999999999998,1199.9999999999998
0.75,0.5,0.5,0.5,0.55,0.55,0.55,935.9999999999998,1276.2509791123755,1443.221017988061,1542.2324890857235,1610.989673582788,1662.888283663742,1704.0729921370414,1737.8647291367042,1766.2476698141302
0.75,0.55,0.55,0.55,0.55,0.55,0.55,911.9999999999998,1252.0938246119729,1419.0595369327195,1518.2982625019145,1587.5359074272435,1640.1432926697958,1682.2004978679226,1716.9597085608757,1746.3542014133031
0.75,0.5,0.5,0.5,0.55,0.55,0.55,935.9999999999998,1276.2509791123755,1443.221017988061,1542.2324890857235,1610.989673582788,1662.888283663742,1704.0729921370414,1737.8647291367042,1766.2476698141302
0.75,0.55,0.55,0.55,0.55,0.55,0.55,911.9999999999998,1252.0938246119729,1419.0595369327195,1518.2982625019145,1587.5359074272435,1640.1432926697958,1682.2004978679226,1716.9597085608757,1746.3542014133031
0.75,0.6,0.6,0.6,0.55,0.55,0.55,887.9999999999998,1227.5215503987342,1394.0118736215427,1492.998498046096,1562.2868172259728,1615.245570751988,1657.8939601212032,1693.4071398145056,1723.654901067789
0.75,0.65,0.65,0.65,0.55,0.55,0.55,863.9999999999998,1202.5284475236683,1368.0501714209888,1466.2699749904723,1535.144372293158,1588.0691085004896,1631.001251693489,1667.02725839956,1697.9411674165842
0.75,0.6,0.6,0.6,0.55,0.55,0.55,887.9999999999998,1227.5215503987342,1394.0118736215427,1492.998498046096,1562.2868172259728,1615.245570751988,1657.8939601212032,1693.4071398145056,1723.654901067789
0.75,0.65,0.65,0.65,0.55,0.55,0.55,863.9999999999998,1202.5284475236683,1368.0501714209888,1466.2699749904723,1535.144372293158,1588.0691085004896,1631.001251693489,1667.02725839956,1697.9411674165842
0.75,0.7,0.7,0.7,0.55,0.55,0.55,839.9999999999999,1177.1065304316076,1341.13335022948,1438.0131925297617,1505.947622373525,1558.4037872600238,1601.271123910662,1637.5307857655298,1668.8873759091623
0.75,0.75,0.75,0.75,0.55,0.55,0.55,815.9999999999998,1151.2452960754692,1313.2037728288433,1408.0781219968355,1474.444407220211,1525.9167581639488,1568.306087254564,1604.464265525455,1635.989631094452
0.75,0.7,0.7,0.7,0.55,0.55,0.55,839.9999999999999,1177.1065304316076,1341.13335022948,1438.0131925297617,1505.947622373525,1558.4037872600238,1601.271123910662,1637.5307857655298,1668.8873759091623
0.75,0.75,0.75,0.75,0.55,0.55,0.55,815.9999999999998,1151.2452960754692,1313.2037728288433,1408.0781219968355,1474.444407220211,1525.9167581639488,1568.306087254564,1604.464265525455,1635.989631094452
0.75,0.8,0.8,0.8,0.55,0.55,0.55,791.9999999999998,1124.9313864051292,1284.1818375392952,1376.236723158063,1440.2332418244723,1490.0726331255737,1531.465707748153,1567.098996687418,1598.442251368443
0.75,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.55,0.55,0.55,767.9999999999998,1098.148124709208,1253.957082500703,1342.124886346879,1402.6313402309552,1449.9515945628946,1489.6462933182247,1524.178461037288,1554.857309434706
0.75,0.9,0.9,0.9,0.55,0.55,0.55,743.9999999999998,1070.8747005627376,1222.3726562481809,1305.0951411926385,1360.3111819059611,1403.748187454954,1440.6726784217938,1473.2198885590146,1502.4879438653454
0.75,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.55,0.55,0.55,767.9999999999998,1098.148124709208,1253.957082500703,1342.124886346879,1402.6313402309552,1449.9515945628946,1489.6462933182247,1524.178461037288,1554.857309434706
0.75,0.9,0.9,0.9,0.55,0.55,0.55,743.9999999999998,1070.8747005627376,1222.3726562481809,1305.0951411926385,1360.3111819059611,1403.748187454954,1440.6726784217938,1473.2198885590146,1502.4879438653454
0.75,0.95,0.95,0.95,0.55,0.55,0.55,719.9999999999999,1043.069000747087,1189.1725102661571,1263.662537659144,1309.8544865289346,1346.7810583363123,1378.8731507672458,1407.717399656889,1434.1058313959147
0.75,1,1,1,0.55,0.55,0.55,695.9999999999998,1012.626915639341,1148.6827513816204,1199.3829332435607,1199.9999999999998,1199.9999999999998,1199.9999999999998,1199.9999999999998,1199.9999999999998
0.75,0.95,0.95,0.95,0.55,0.55,0.55,719.9999999999999,1043.069000747087,1189.1725102661571,1263.662537659144,1309.8544865289346,1346.7810583363123,1378.8731507672458,1407.717399656889,1434.1058313959147
0.75,1,1,1,0.55,0.55,0.55,695.9999999999998,1012.626915639341,1148.6827513816204,1199.3829332435607,1199.9999999999998,1199.9999999999998,1199.9999999999998,1199.9999999999998,1199.9999999999998
0.75,0.5,0.5,0.5,0.6,0.6,0.6,911.9999999999998,1251.6720984084598,1423.8802368785912,1527.139445577179,1599.0954119027224,1653.3904502334744,1696.3384837134947,1731.435240571525,1760.8060202764295
0.75,0.55,0.55,0.55,0.6,0.6,0.6,887.9999999999998,1227.517298213423,1399.7167928208028,1503.1751229711265,1575.561277838278,1630.510133862257,1674.291103257914,1710.333933707886,1740.707386390119
