p,score,q1,q2,q3,q4,q5,q6,eMaxEspnScore_n=1,eMaxEspnScore_n=10,eMaxEspnScore_n=100,eMaxEspnScore_n=1000,eMaxEspnScore_n=10000,eMaxEspnScore_n=1e+05,eMaxEspnScore_n=1e+06,eMaxEspnScore_n=1e+07,eMaxEspnScore_n=1e+08
0.5,Hamming_og,0,0,0,0,0,0,31.499999999999996,31.500000000000416,31.500000000004167,31.500000000041734,31.50000000041743,31.50000000417439,31.500000041743935,31.500000417439367,31.500004174393005
0.6,Hamming_og,0,0,0,0,0,0,37.799999999999976,37.800000000000516,37.80000000000512,37.800000000051135,37.8000000005112,37.80000000511226,37.800000051122645,37.80000051122641,37.80000511226281
0.7,Hamming_og,0,0,0,0,0,0,44.09999999999991,44.100000000000485,44.10000000000486,44.100000000048595,44.10000000048606,44.10000000486068,44.10000004860686,44.10000048606868,44.10000486068515
0.8,Hamming_og,0,0,0,0,0,0,50.39999999999992,50.40000000000048,50.40000000000477,50.400000000047804,50.40000000047814,50.40000000478128,50.400000047812924,50.400000478129115,50.40000478128914
0.9,Hamming_og,0,0,0,0,0,0,56.69999999999982,56.70000000000013,56.700000000001396,56.700000000014235,56.70000000014242,56.70000000142426,56.70000001424271,56.70000014242703,56.700001424269864
1,Hamming_og,0,0,0,0,0,0,62.999999999999936,63,63,63,63,63,63,63,63
0.5,Hamming_og,0.1,0.1,0.1,0.1,0.1,0.1,31.499999999999947,35.142867321290254,37.50205008815193,39.343901527039044,40.91202491258002,42.30661551984863,43.57803286620492,44.755483751083304,45.85764770813393
0.6,Hamming_og,0.1,0.1,0.1,0.1,0.1,0.1,36.53999999999995,40.135443168792676,42.396543798242234,44.14041594289511,45.6152937969801,46.92084619082931,48.10652641208331,49.200757928260195,50.22158219437197
0.7,Hamming_og,0.1,0.1,0.1,0.1,0.1,0.1,41.57999999999998,45.12596815074354,47.27651172609657,48.90564835770369,50.269705731671934,51.46847986966111,52.550539529336284,53.54339143713261,54.464250386708166
0.8,Hamming_og,0.1,0.1,0.1,0.1,0.1,0.1,46.620000000000005,50.11427655244029,52.137014611144195,53.62464776041241,54.84836720588519,55.90968381324753,56.85627322379347,57.7142061579345,58.49901646160538
0.9,Hamming_og,0.1,0.1,0.1,0.1,0.1,0.1,51.66000000000006,55.10021504154343,56.96983804932763,58.26403520396047,59.28280275448612,60.13338780102476,60.85768969397019,61.469604136635546,61.96875929854303
1,Hamming_og,0.1,0.1,0.1,0.1,0.1,0.1,56.700000000000074,60.08365306645305,61.76055433426188,62.73039052481047,62.999997972674976,63,63,63,63
0.5,Hamming_og,0.2,0.2,0.2,0.2,0.2,0.2,31.499999999999936,36.365497827619826,39.43256215540771,41.75666201692379,43.687044400310945,45.368085134669435,46.87249386487673,48.2424451791144,49.504852167249695
0.6,Hamming_og,0.2,0.2,0.2,0.2,0.2,0.2,35.279999999999944,40.11039934665374,43.100669895762074,45.341617152443995,47.187954648672495,48.78515274971438,50.20609550353468,51.49284924734179,52.67213505344253
0.7,Hamming_og,0.2,0.2,0.2,0.2,0.2,0.2,39.059999999999995,43.854495668133836,46.76255515073952,48.9112889059106,50.66223776685106,52.16265786307909,53.4859346304365,54.67411443636024,55.7537636993352
0.8,Hamming_og,0.2,0.2,0.2,0.2,0.2,0.2,42.83999999999998,47.59775164209526,50.417174657145075,52.461691467960506,54.101019883605524,55.485091096233035,56.68822484510363,57.75251517223776,58.70399492868523
0.9,Hamming_og,0.2,0.2,0.2,0.2,0.2,0.2,46.61999999999994,51.34013256653823,54.06319077624774,55.98677112165339,57.48895140120419,58.72268701247242,59.763032495999475,60.651091442269866,61.40811729733988
1,Hamming_og,0.2,0.2,0.2,0.2,0.2,0.2,50.39999999999986,55.081604801849544,57.698867840774945,59.47707934341847,60.791917854565355,61.806777323989074,62.543713204778165,62.99960883467045,63
0.5,Hamming_og,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,31.499999999999996,37.07711799930874,40.56240449507352,43.17333541203527,45.31775927123793,47.16511540255415,48.80110016977558,50.27558805881709,51.620484387971345
0.6,Hamming_og,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,34.02000000000004,39.573859485182915,43.00758941045081,45.56116628465271,47.64600906415027,49.43242283891254,51.006365955319175,52.41775767349523,53.69843554047788
0.7,Hamming_og,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,36.54000000000008,42.07029738919973,45.450416796553334,47.94301603219107,49.96342927950626,51.68300815996889,53.18806150004231,54.52857892900262,55.7363012998149
0.8,Hamming_og,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,39.06000000000011,44.566424042358065,47.89067346483036,50.31804729374011,52.26805459812925,53.9132263650121,55.340263255372115,56.599184928044814,57.72150158653088
0.9,Hamming_og,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,41.58000000000019,47.06223177920589,50.3281149659237,52.68521089601946,54.55723841016055,56.11785342183115,57.453991164747784,58.61540528154652,59.63285205698764
1,Hamming_og,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,44.100000000000215,49.55771297756992,52.76245988989623,55.04319823385155,56.82734304166077,58.2909908885521,59.51164102041187,60.53742419621844,61.402178131586666
0.5,Hamming_og,0.4,0.4,0.4,0.4,0.4,0.4,31.500000000000018,37.4634770761039,41.17709484561613,43.9452979212253,46.20702172139911,48.14495198989872,49.85164053578807,51.38102860222465,52.767653160955795
0.6,Hamming_og,0.4,0.4,0.4,0.4,0.4,0.4,32.760000000000034,38.71189375768597,42.39978248312338,45.139113831302716,47.37052626600629,49.27711248593942,50.95154541195297,52.44778329090426,53.80032286607132
0.7,Hamming_og,0.4,0.4,0.4,0.4,0.4,0.4,34.02000000000007,39.96024067009262,43.62193504130506,46.33156842305546,48.53154520048339,50.40539293513843,52.04591523214382,53.50708361147888,54.82334377702777
0.8,Hamming_og,0.4,0.4,0.4,0.4,0.4,0.4,35.280000000000044,41.208516987802675,44.84353114525587,47.522579282474915,49.68988558437529,51.52943363909527,53.13416154389031,54.55802822958326,55.83544221187566
0.9,Hamming_og,0.4,0.4,0.4,0.4,0.4,0.4,36.54000000000006,42.45672188367142,46.064548061184,48.712055353417064,50.84532943037569,52.64881968625773,54.21562555114599,55.59939585488876,56.8350057934532
1,Hamming_og,0.4,0.4,0.4,0.4,0.4,0.4,37.800000000000104,43.704854529757824,47.28496159027914,49.89989010617519,51.997718269493326,53.76345647469793,55.29031304143029,56.62842646762167,57.81424417022562
0.5,Hamming_og,0.5,0.5,0.5,0.5,0.5,0.5,31.500000000000007,37.5868170169425,41.373480454473274,44.1920909255614,46.491389439179464,48.45815097772501,50.18677828552037,51.73419152708836,53.133971677578565
0.6,Hamming_og,0.5,0.5,0.5,0.5,0.5,0.5,31.500000000000018,37.586817016942504,41.373480454473274,44.1920909255614,46.49138943917947,48.45815097772502,50.18677828552037,51.73419152708836,53.133971677578565
0.7,Hamming_og,0.5,0.5,0.5,0.5,0.5,0.5,31.50000000000001,37.5868170169425,41.37348045447328,44.1920909255614,46.49138943917946,48.45815097772502,50.18677828552037,51.73419152708836,53.133971677578565
0.8,Hamming_og,0.5,0.5,0.5,0.5,0.5,0.5,31.50000000000001,37.586817016942504,41.373480454473274,44.1920909255614,46.49138943917947,48.45815097772502,50.18677828552037,51.73419152708836,53.133971677578565
0.9,Hamming_og,0.5,0.5,0.5,0.5,0.5,0.5,31.500000000000018,37.586817016942504,41.37348045447328,44.19209092556141,46.49138943917948,48.45815097772501,50.18677828552037,51.73419152708836,53.133971677578565
1,Hamming_og,0.5,0.5,0.5,0.5,0.5,0.5,31.50000000000001,37.586817016942504,41.373480454473274,44.1920909255614,46.49138943917947,48.458150977725005,50.18677828552037,51.73419152708836,53.133971677578565
0.5,Hamming_og,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,31.500000000000135,37.463477076104354,41.177094845619976,43.94529792125798,46.20702172168098,48.1449519923633,49.85164055739762,51.38102878875025,52.76765472073797
0.6,Hamming_og,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,30.24000000000017,36.214991448456374,39.953892245472765,42.75019561063403,45.041202320883386,47.0092226623773,48.74670080881624,50.30756334222825,51.72638235931716
0.7,Hamming_og,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,28.980000000000157,34.96643769469274,38.73019363376583,41.55387522639885,43.87321999275361,45.87019577826785,47.637154439107604,49.22801267552625,50.677374846060246
0.8,Hamming_og,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,27.720000000000116,33.717816630900806,37.50601688111212,40.35639927536408,42.70321062429965,44.7281093692892,46.523370939752496,48.1429087978533,49.62136641663859
0.9,Hamming_og,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,26.46000000000007,32.4691290686437,36.281378855844956,39.15782510015972,41.53129679331019,43.583170166245374,45.40565978035152,47.05269763188037,48.55904267970509
