n,k,opp_prob_method,H_star_espn,H_star_num_correct,i
100,100,naive_chalky,47.61412946177171,46.41239664311512,1
100,100,P_538_2022,46.4877613830396,46.92776580381823,2
100,100,naive_random,45.37672003726934,39.0063221403868,3
100,100,super_chalky,42.7615499912468,41.82280717431463,4
100,1000,naive_chalky,41.61980802940931,42.974851690212525,5
100,1000,P_538_2022,41.77339291065489,50.82922001111185,6
100,1000,naive_random,48.737098638465454,39.31389094258607,7
100,1000,super_chalky,55.17209135740204,56.98318528270682,8
100,10000,naive_chalky,40.43398571271308,41.81010681638701,9
100,10000,P_538_2022,44.41156469337078,50.954932973512136,10
100,10000,naive_random,49.80605841672968,40.94295430813264,11
100,10000,super_chalky,56.44054077818492,57.10703597272058,12
1000,1000,naive_chalky,48.07610127375592,48.786691687057974,13
1000,1000,P_538_2022,47.403503446826896,48.334181009366006,14
1000,1000,naive_random,42.50180428493043,38.95274490935614,15
1000,1000,super_chalky,44.48631058973651,44.98044693053425,16
1000,10000,naive_chalky,44.53449989035843,47.59376451331176,17
1000,10000,P_538_2022,43.22076247728006,44.061820388812585,18
1000,10000,naive_random,46.599789693113316,38.98342228196014,19
1000,10000,super_chalky,43.74762208335674,44.90140493735321,20
