p,qE,qL,q_cutoff,eMaxScore,n,score_method
0.75,0.5,0.5,1.5,96.00000000000028,1,ESPN
0.75,0.5,0.5,1.5,122.18487280848112,5,ESPN
0.75,0.5,0.5,1.5,129.78978650035816,10,ESPN
0.75,0.5,0.5,1.5,145.93775181333615,100,ESPN
0.75,0.5,0.5,1.5,155.4459863392305,1000,ESPN
0.75,0.5,0.5,1.5,162.04613582059312,10000,ESPN
0.75,0.55,0.5,1.5,96.80000000000024,1,ESPN
0.75,0.55,0.5,1.5,122.98270150940496,5,ESPN
0.75,0.55,0.5,1.5,130.58654119644842,10,ESPN
0.75,0.55,0.5,1.5,146.72981573468823,100,ESPN
0.75,0.55,0.5,1.5,156.2317180828086,1000,ESPN
0.75,0.55,0.5,1.5,162.82386066146017,10000,ESPN
0.75,0.6,0.5,1.5,97.60000000000024,1,ESPN
0.75,0.6,0.5,1.5,123.77638223347168,5,ESPN
0.75,0.6,0.5,1.5,131.37729479308388,10,ESPN
0.75,0.6,0.5,1.5,147.5088664267322,100,ESPN
0.75,0.6,0.5,1.5,156.99678942257833,1000,ESPN
0.75,0.6,0.5,1.5,163.57298471942576,10000,ESPN
0.75,0.65,0.5,1.5,98.40000000000023,1,ESPN
0.75,0.65,0.5,1.5,124.56591749467611,5,ESPN
0.75,0.65,0.5,1.5,132.16205487065508,10,ESPN
0.75,0.65,0.5,1.5,148.2749496127112,100,ESPN
0.75,0.65,0.5,1.5,157.74131446551297,1000,ESPN
0.75,0.65,0.5,1.5,164.2937057124803,10000,ESPN
0.75,0.7,0.5,1.5,99.20000000000024,1,ESPN
0.75,0.7,0.5,1.5,125.35130770113756,5,ESPN
0.75,0.7,0.5,1.5,132.9408246356574,10,ESPN
0.75,0.7,0.5,1.5,149.02808836236295,100,ESPN
0.75,0.7,0.5,1.5,158.4653434105952,1000,ESPN
0.75,0.7,0.5,1.5,164.98608402277682,10000,ESPN
0.75,0.75,0.5,1.5,100.00000000000024,1,ESPN
0.75,0.75,0.5,1.5,126.1325511534252,5,ESPN
0.75,0.75,0.5,1.5,133.7136029267162,10,ESPN
0.75,0.75,0.5,1.5,149.7682832380553,100,ESPN
0.75,0.75,0.5,1.5,159.16886290897298,1000,ESPN
0.75,0.75,0.5,1.5,165.6500419620529,10000,ESPN
0.75,0.8,0.5,1.5,100.80000000000024,1,ESPN
0.75,0.8,0.5,1.5,126.90964403626312,5,ESPN
0.75,0.8,0.5,1.5,134.4803842012615,10,ESPN
0.75,0.8,0.5,1.5,150.49551219933105,100,ESPN
0.75,0.8,0.5,1.5,159.85179518319626,1000,ESPN
0.75,0.8,0.5,1.5,166.28535865393977,10000,ESPN
0.75,0.8500000000000001,0.5,1.5,101.60000000000024,1,ESPN
0.75,0.8500000000000001,0.5,1.5,127.68258040349372,5,ESPN
0.75,0.8500000000000001,0.5,1.5,135.241158502639,10,ESPN
0.75,0.8500000000000001,0.5,1.5,151.20973026219042,100,ESPN
