wp,n,k,p,q,r
0.002060599986354223,1,1,0.75,0,0.5
0.002060599986354223,10,1,0.75,0,0.5
0.002060599986354223,100,1,0.75,0,0.5
0.002060599986354223,1000,1,0.75,0,0.5
0.002060599986354223,10000,1,0.75,0,0.5
0.002060599986354223,100000,1,0.75,0,0.5
0.002060599986354223,1000000,1,0.75,0,0.5
0.002060599986354223,10000000,1,0.75,0,0.5
0.002060599986354223,100000000,1,0.75,0,0.5
2.204825916298231e-7,1,10,0.75,0,0.5
2.204825916298231e-7,10,10,0.75,0,0.5
2.204825916298231e-7,100,10,0.75,0,0.5
2.204825916298231e-7,1000,10,0.75,0,0.5
2.204825916298231e-7,10000,10,0.75,0,0.5
2.204825916298231e-7,100000,10,0.75,0,0.5
2.204825916298231e-7,1000000,10,0.75,0,0.5
2.204825916298231e-7,10000000,10,0.75,0,0.5
2.204825916298231e-7,100000000,10,0.75,0,0.5
1.6896321001653752e-10,1,100,0.75,0,0.5
1.6896321001653752e-10,10,100,0.75,0,0.5
1.6896321001653752e-10,100,100,0.75,0,0.5
1.6896321001653752e-10,1000,100,0.75,0,0.5
1.6896321001653752e-10,10000,100,0.75,0,0.5
1.6896321001653752e-10,100000,100,0.75,0,0.5
1.6896321001653752e-10,1000000,100,0.75,0,0.5
1.6896321001653752e-10,10000000,100,0.75,0,0.5
1.6896321001653752e-10,100000000,100,0.75,0,0.5
5.780775988161484e-13,1,1000,0.75,0,0.5
5.780775988161484e-13,10,1000,0.75,0,0.5
5.780775988161484e-13,100,1000,0.75,0,0.5
5.780775988161484e-13,1000,1000,0.75,0,0.5
5.780775988161484e-13,10000,1000,0.75,0,0.5
5.780775988161484e-13,100000,1000,0.75,0,0.5
5.780775988161484e-13,1000000,1000,0.75,0,0.5
5.780775988161484e-13,10000000,1000,0.75,0,0.5
5.780775988161484e-13,100000000,1000,0.75,0,0.5
4.167677589074225e-15,1,10000,0.75,0,0.5
4.167677589074225e-15,10,10000,0.75,0,0.5
4.167677589074225e-15,100,10000,0.75,0,0.5
4.167677589074225e-15,1000,10000,0.75,0,0.5
4.167677589074225e-15,10000,10000,0.75,0,0.5
4.167677589074225e-15,100000,10000,0.75,0,0.5
4.167677589074225e-15,1000000,10000,0.75,0,0.5
4.167677589074225e-15,10000000,10000,0.75,0,0.5
4.167677589074225e-15,100000000,10000,0.75,0,0.5
4.6524168888961094e-17,1,100000,0.75,0,0.5
4.6524168888961094e-17,10,100000,0.75,0,0.5
4.6524168888961094e-17,100,100000,0.75,0,0.5
4.6524168888961094e-17,1000,100000,0.75,0,0.5
4.6524168888961094e-17,10000,100000,0.75,0,0.5
4.6524168888961094e-17,100000,100000,0.75,0,0.5
4.6524168888961094e-17,1000000,100000,0.75,0,0.5
4.6524168888961094e-17,10000000,100000,0.75,0,0.5
4.6524168888961094e-17,100000000,100000,0.75,0,0.5
6.962663648537706e-19,1,1000000,0.75,0,0.5
6.962663648537706e-19,10,1000000,0.75,0,0.5
6.962663648537706e-19,100,1000000,0.75,0,0.5
6.962663648537706e-19,1000,1000000,0.75,0,0.5
6.962663648537706e-19,10000,1000000,0.75,0,0.5
6.962663648537706e-19,100000,1000000,0.75,0,0.5
6.962663648537706e-19,1000000,1000000,0.75,0,0.5
6.962663648537706e-19,10000000,1000000,0.75,0,0.5
6.962663648537706e-19,100000000,1000000,0.75,0,0.5
1.3102973638366839e-20,1,10000000,0.75,0,0.5
1.3102973638366839e-20,10,10000000,0.75,0,0.5
1.3102973638366839e-20,100,10000000,0.75,0,0.5
1.3102973638366839e-20,1000,10000000,0.75,0,0.5
1.3102973638366839e-20,10000,10000000,0.75,0,0.5
1.3102973638366839e-20,100000,10000000,0.75,0,0.5
1.3102973638366839e-20,1000000,10000000,0.75,0,0.5
1.3102973638366839e-20,10000000,10000000,0.75,0,0.5
1.3102973638366839e-20,100000000,10000000,0.75,0,0.5
3.1111531507478277e-22,1,100000000,0.75,0,0.5
3.1111531507478277e-22,10,100000000,0.75,0,0.5
3.1111531507478277e-22,100,100000000,0.75,0,0.5
3.1111531507478277e-22,1000,100000000,0.75,0,0.5
3.1111531507478277e-22,10000,100000000,0.75,0,0.5
3.1111531507478277e-22,100000,100000000,0.75,0,0.5
3.1111531507478277e-22,1000000,100000000,0.75,0,0.5
3.1111531507478277e-22,10000000,100000000,0.75,0,0.5
3.1111531507478277e-22,100000000,100000000,0.75,0,0.5
0.005464877038597746,1,1,0.75,0.05,0.5
0.017838815994547362,10,1,0.75,0.05,0.5
0.04056154282367714,100,1,0.75,0.05,0.5
0.07511468010302498,1000,1,0.75,0.05,0.5
0.12215152593540177,10000,1,0.75,0.05,0.5
0.18121713845522142,100000,1,0.75,0.05,0.5
0.2506257939521974,1000000,1,0.75,0.05,0.5
0.327783782366479,10000000,1,0.75,0.05,0.5
0.40941552333463593,100000000,1,0.75,0.05,0.5
1.9929256496073016e-6,1,10,0.75,0.05,0.5
1.4209606699537345e-5,10,10,0.75,0.05,0.5
7.319833202746595e-5,100,10,0.75,0.05,0.5
2.884755856227425e-4,1000,10,0.75,0.05,0.5
9.279265837694076e-4,10000,10,0.75,0.05,0.5
0.0025475505618076074,100000,10,0.75,0.05,0.5
0.006140720262485304,1000000,10,0.75,0.05,0.5
0.013279084615361939,10000000,10,0.75,0.05,0.5
0.02610995010554746,100000000,10,0.75,0.05,0.5
3.0909403328561435e-9,1,100,0.75,0.05,0.5
2.696404692073962e-8,10,100,0.75,0.05,0.5
1.912925519689807e-7,100,100,0.75,0.05,0.5
1.088418006341875e-6,1000,100,0.75,0.05,0.5
5.1140817861909954e-6,10000,100,0.75,0.05,0.5
2.042981161432615e-5,100000,100,0.75,0.05,0.5
7.122207903823424e-5,1000000,100,0.75,0.05,0.5
2.2067168948843228e-4,10000000,100,0.75,0.05,0.5
6.145493834989132e-4,100000000,100,0.75,0.05,0.5
1.654355879976192e-11,1,1000,0.75,0.05,0.5
1.5440790932634394e-10,10,1000,0.75,0.05,0.5
1.2588288075385148e-9,100,1000,0.75,0.05,0.5
8.63116741778591e-9,1000,1000,0.75,0.05,0.5
4.9968536480579555e-8,10000,1000,0.75,0.05,0.5
2.490619166185564e-7,100000,1000,0.75,0.05,0.5
1.0871738888116461e-6,1000000,1000,0.75,0.05,0.5
4.2120706102460256e-6,10000000,1000,0.75,0.05,0.5
1.4690868739957426e-5,100000000,1000,0.75,0.05,0.5
1.6734571184987995e-13,1,10000,0.75,0.05,0.5
1.6102109973706602e-12,10,10000,0.75,0.05,0.5
1.4150084766158474e-11,100,10000,0.75,0.05,0.5
1.0867080587546648e-10,1000,10000,0.75,0.05,0.5
7.222513376504034e-10,10000,10000,0.75,0.05,0.5
4.178675022368461e-9,100000,10000,0.75,0.05,0.5
2.1334210854964685e-8,1000000,10000,0.75,0.05,0.5
9.740785607904258e-8,10000000,10000,0.75,0.05,0.5
4.013894293564087e-7,100000000,10000,0.75,0.05,0.5
2.4740426049034696e-15,1,100000,0.75,0.05,0.5
2.4187462965008303e-14,10,100000,0.75,0.05,0.5
2.2237247474585013e-13,100,100000,0.75,0.05,0.5
1.8429388883952505e-12,1000,100000,0.75,0.05,0.5
1.3511125224821159e-11,10000,100000,0.75,0.05,0.5
8.759853262630052e-11,100000,100000,0.75,0.05,0.5
5.04791420300317e-10,1000000,100000,0.75,0.05,0.5
2.607816744056503e-9,10000000,100000,0.75,0.05,0.5
1.2196438201803098e-8,100000000,100000,0.75,0.05,0.5
4.717043256851622e-17,1,1000000,0.75,0.05,0.5
4.652867341955545e-16,10,1000000,0.75,0.05,0.5
4.401229764575256e-15,100,1000000,0.75,0.05,0.5
3.846933946639189e-14,1000,1000000,0.75,0.05,0.5
3.034450792350034e-13,10000,1000000,0.75,0.05,0.5
2.14520747791765e-12,100000,1000000,0.75,0.05,0.5
1.3629072998997294e-11,1000000,1000000,0.75,0.05,0.5
7.820480227833926e-11,10000000,1000000,0.75,0.05,0.5
4.0770098615245366e-10,100000000,1000000,0.75,0.05,0.5
1.0925883157974708e-18,1,10000000,0.75,0.05,0.5
1.0832085496442288e-17,10,10000000,0.75,0.05,0.5
1.0432126426732775e-16,100,10000000,0.75,0.05,0.5
9.459771065714403e-16,1000,10000000,0.75,0.05,0.5
7.883577011945184e-15,10000,10000000,0.75,0.05,0.5
5.964494828215621e-14,100000,10000000,0.75,0.05,0.5
4.0882088418440477e-13,1000000,10000000,0.75,0.05,0.5
2.5467884819531888e-12,10000000,10000000,0.75,0.05,0.5
1.4488103837359023e-11,100000000,10000000,0.75,0.05,0.5
3.1429157372472056e-20,1,100000000,0.75,0.05,0.5
3.125914934846685e-19,10,100000000,0.75,0.05,0.5
3.0478101343900983e-18,100,100000000,0.75,0.05,0.5
2.839986161723256e-17,1000,100000000,0.75,0.05,0.5
2.4708264269087227e-16,10000,100000000,0.75,0.05,0.5
1.9782782073897936e-15,100000,100000000,0.75,0.05,0.5
1.4484584039706746e-14,1000000,100000000,0.75,0.05,0.5
9.694865674186006e-14,10000000,100000000,0.75,0.05,0.5
5.948447181796754e-13,100000000,100000000,0.75,0.05,0.5
0.01283661247602794,1,1,0.75,0.1,0.5
0.050238195278172915,10,1,0.75,0.1,0.5
0.12140762768557478,100,1,0.75,0.1,0.5
0.2214452442490247,1000,1,0.75,0.1,0.5
0.339948398094476,10000,1,0.75,0.1,0.5
0.46458319695084715,100000,1,0.75,0.1,0.5
0.5840368579166968,1000000,1,0.75,0.1,0.5
0.6900434798119809,10000000,1,0.75,0.1,0.5
0.7781007554969803,100000000,1,0.75,0.1,0.5
1.376667391098095e-5,1,10,0.75,0.1,0.5
1.1802421967741448e-4,10,10,0.75,0.1,0.5
7.576047888626093e-4,100,10,0.75,0.1,0.5
0.0034886692449746276,1000,10,0.75,0.1,0.5
0.012055570835114595,10000,10,0.75,0.1,0.5
0.03296129644472443,100000,10,0.75,0.1,0.5
0.07436064250188167,1000000,10,0.75,0.1,0.5
0.14293555600668856,10000000,10,0.75,0.1,0.5
0.2401083472022622,100000000,10,0.75,0.1,0.5
4.060083144895328e-8,1,100,0.75,0.1,0.5
3.937366004225436e-7,10,100,0.75,0.1,0.5
3.4483299321282e-6,100,100,0.75,0.1,0.5
2.494919367276269e-5,1000,100,0.75,0.1,0.5
1.43756742684846e-4,10000,100,0.75,0.1,0.5
6.631281382911614e-4,100000,100,0.75,0.1,0.5
0.0024968481492431112,1000000,100,0.75,0.1,0.5
0.007835528742638606,10000000,100,0.75,0.1,0.5
0.02087904354279173,100000000,100,0.75,0.1,0.5
3.2923221280478363e-10,1,1000,0.75,0.1,0.5
3.2648717220963316e-9,10,1000,0.75,0.1,0.5
3.118396908575611e-8,100,1000,0.75,0.1,0.5
2.699898987544546e-7,1000,1000,0.75,0.1,0.5
2.0053549024869207e-6,10000,1000,0.75,0.1,0.5
1.2463249989770864e-5,100000,1000,0.75,0.1,0.5
6.468519005686706e-5,1000000,1000,0.75,0.1,0.5
2.8270292011585516e-4,10000000,1000,0.75,0.1,0.5
0.0010521933496663528,100000000,1000,0.75,0.1,0.5
4.571006037568442e-12,1,10000,0.75,0.1,0.5
4.558787695259818e-11,10,10000,0.75,0.1,0.5
4.481231545149022e-10,100,10000,0.75,0.1,0.5
4.1959615604841215e-9,1000,10000,0.75,0.1,0.5
3.569842441258185e-8,10000,10000,0.75,0.1,0.5
2.66027744316491e-7,100000,10000,0.75,0.1,0.5
1.7065033727694657e-6,1000000,10000,0.75,0.1,0.5
9.393155106995925e-6,10000000,10000,0.75,0.1,0.5
4.453224975793542e-5,100000000,10000,0.75,0.1,0.5
8.7994080615259135e-14,1,100000,0.75,0.1,0.5
8.7912538490294e-13,10,100000,0.75,0.1,0.5
8.733081351319377e-12,100,100000,0.75,0.1,0.5
8.475211147605095e-11,1000,100000,0.75,0.1,0.5
7.773422616307303e-10,10000,100000,0.75,0.1,0.5
6.499398497966173e-9,100000,100000,0.75,0.1,0.5
4.8276982514313605e-8,1000000,100000,0.75,0.1,0.5
3.1465659300840984e-7,10000000,100000,0.75,0.1,0.5
1.7946129494728138e-6,100000000,100000,0.75,0.1,0.5
2.187662726181861e-15,1,1000000,0.75,0.1,0.5
2.1869470721656393e-14,10,1000000,0.75,0.1,0.5
2.1814040805313204e-13,100,1000000,0.75,0.1,0.5
2.1530321616760257e-12,1000,1000000,0.75,0.1,0.5
2.0612313687423318e-11,10000,1000000,0.75,0.1,0.5
1.861148190581998e-10,100000,1000000,0.75,0.1,0.5
1.545143396840469e-9,1000000,1000000,0.75,0.1,0.5
1.1621039636018868e-8,10000000,1000000,0.75,0.1,0.5
7.912619558261619e-8,100000000,1000000,0.75,0.1,0.5
1.4337573563590613e-16,1,10000000,0.75,0.1,0.5
1.4336778746954952e-15,10,10000000,0.75,0.1,0.5
1.4330258630079192e-14,100,10000000,0.75,0.1,0.5
1.4293020175071544e-13,1000,10000000,0.75,0.1,0.5
1.41547302071316e-12,10000,10000000,0.75,0.1,0.5
1.3804917139185103e-11,100000,10000000,0.75,0.1,0.5
1.3160981410125958e-10,1000000,10000000,0.75,0.1,0.5
1.2249984418707832e-9,10000000,10000000,0.75,0.1,0.5
1.1218196445420285e-8,100000000,10000000,0.75,0.1,0.5
8.616058741948502e-17,1,100000000,0.75,0.1,0.5
8.616048062541964e-16,10,100000000,0.75,0.1,0.5
8.61595625914676e-15,100,100000000,0.75,0.1,0.5
8.615379024751458e-14,1000,100000000,0.75,0.1,0.5
8.612950084436611e-13,10000,100000000,0.75,0.1,0.5
8.605912768720368e-12,100000,100000000,0.75,0.1,0.5
8.591021824131936e-11,1000000,100000000,0.75,0.1,0.5
8.566783566272875e-10,10000000,100000000,0.75,0.1,0.5
8.535210207992132e-9,100000000,100000000,0.75,0.1,0.5
0.027084415183934257,1,1,0.75,0.15000000000000002,0.5
0.1104413507550732,10,1,0.75,0.15000000000000002,0.5
0.25664045843867006,100,1,0.75,0.15000000000000002,0.5
0.4297388096425743,1000,1,0.75,0.15000000000000002,0.5
0.594994585509837,10000,1,0.75,0.15000000000000002,0.5
0.7316651817204187,100000,1,0.75,0.15000000000000002,0.5
0.8330399799004827,1000000,1,0.75,0.15000000000000002,0.5
0.9018836707056611,10000000,1,0.75,0.15000000000000002,0.5
0.9452779484065396,100000000,1,0.75,0.15000000000000002,0.5
7.547735083429481e-5,1,10,0.75,0.15000000000000002,0.5
6.822945621767037e-4,10,10,0.75,0.15000000000000002,0.5
0.004703614039144291,100,10,0.75,0.15000000000000002,0.5
0.021940220311488335,1000,10,0.75,0.15000000000000002,0.5
0.07072765911706248,10000,10,0.75,0.15000000000000002,0.5
0.16821029893501624,100000,10,0.75,0.15000000000000002,0.5
0.31420914200190275,1000000,10,0.75,0.15000000000000002,0.5
0.48603767683864024,10000000,10,0.75,0.15000000000000002,0.5
0.6510666647352438,100000000,10,0.75,0.15000000000000002,0.5
4.018254606448536e-7,1,100,0.75,0.15000000000000002,0.5
3.97349030332832e-6,10,100,0.75,0.15000000000000002,0.5
3.7136809856083275e-5,100,100,0.75,0.15000000000000002,0.5
2.9558449082042407e-4,1000,100,0.75,0.15000000000000002,0.5
0.0018252281861409242,10000,100,0.75,0.15000000000000002,0.5
0.008469469274807259,100000,100,0.75,0.15000000000000002,0.5
0.029810140097418742,1000000,100,0.75,0.15000000000000002,0.5
0.08158139262712912,10000000,100,0.75,0.15000000000000002,0.5
0.17863074823768346,100000000,100,0.75,0.15000000000000002,0.5
4.8074802350783364e-9,1,1000,0.75,0.15000000000000002,0.5
4.798965332972732e-8,10,1000,0.75,0.15000000000000002,0.5
4.7343973391656177e-7,100,1000,0.75,0.15000000000000002,0.5
4.436174060561629e-6,1000,1000,0.75,0.15000000000000002,0.5
3.6697596027283055e-5,10000,1000,0.75,0.15000000000000002,0.5
2.505000085317179e-4,100000,1000,0.75,0.15000000000000002,0.5
0.0013631423712964074,1000000,1000,0.75,0.15000000000000002,0.5
0.005873927529106076,10000000,1000,0.75,0.15000000000000002,0.5
0.020199562521538542,100000000,1000,0.75,0.15000000000000002,0.5
8.996662928843946e-11,1,10000,0.75,0.15000000000000002,0.5
8.993565345654777e-10,10,10000,0.75,0.15000000000000002,0.5
8.966917327274666e-9,100,10000,0.75,0.15000000000000002,0.5
8.805642139583103e-8,1000,10000,0.75,0.15000000000000002,0.5
8.211889435022615e-7,10000,10000,0.75,0.15000000000000002,0.5
6.8729848804173826e-6,100000,10000,0.75,0.15000000000000002,0.5
4.904200198734146e-5,1000000,10000,0.75,0.15000000000000002,0.5
2.8946795497802446e-4,10000000,10000,0.75,0.15000000000000002,0.5
0.0013979299741279374,100000000,10000,0.75,0.15000000000000002,0.5
2.2183681341148733e-12,1,100000,0.75,0.15000000000000002,0.5
2.2182027271973e-11,10,100000,0.75,0.15000000000000002,0.5
2.2166817909885923e-10,100,100000,0.75,0.15000000000000002,0.5
2.2057328963327457e-9,1000,100000,0.75,0.15000000000000002,0.5
2.1534921855406244e-8,10000,100000,0.75,0.15000000000000002,0.5
1.9944433907462223e-7,100000,100000,0.75,0.15000000000000002,0.5
