wp,n,k,p,q,r,score_method
0.00206059998635422,1,1,0.75,0,0.5,Hamming
0.00206059998635422,10,1,0.75,0,0.5,Hamming
0.00206059998635422,100,1,0.75,0,0.5,Hamming
0.00206059998635422,1000,1,0.75,0,0.5,Hamming
2.20482591629822e-7,1,10,0.75,0,0.5,Hamming
2.20482591629822e-7,10,10,0.75,0,0.5,Hamming
2.20482591629822e-7,100,10,0.75,0,0.5,Hamming
2.20482591629822e-7,1000,10,0.75,0,0.5,Hamming
1.689632100165373e-10,1,100,0.75,0,0.5,Hamming
1.689632100165373e-10,10,100,0.75,0,0.5,Hamming
1.689632100165373e-10,100,100,0.75,0,0.5,Hamming
1.689632100165373e-10,1000,100,0.75,0,0.5,Hamming
5.780775988161477e-13,1,1000,0.75,0,0.5,Hamming
5.780775988161477e-13,10,1000,0.75,0,0.5,Hamming
5.780775988161477e-13,100,1000,0.75,0,0.5,Hamming
5.780775988161477e-13,1000,1000,0.75,0,0.5,Hamming
0.00546487703859774,1,1,0.75,0.05,0.5,Hamming
0.01783881599454736,10,1,0.75,0.05,0.5,Hamming
0.04056154282367722,100,1,0.75,0.05,0.5,Hamming
0.0751146801030254,1000,1,0.75,0.05,0.5,Hamming
1.99292564961326e-6,1,10,0.75,0.05,0.5,Hamming
1.420960669959696e-5,10,10,0.75,0.05,0.5,Hamming
7.319833202806245e-5,100,10,0.75,0.05,0.5,Hamming
2.8847558562871366e-4,1000,10,0.75,0.05,0.5,Hamming
3.0909403388406335e-9,1,100,0.75,0.05,0.5,Hamming
2.6964046980584543e-8,10,100,0.75,0.05,0.5,Hamming
1.9129255256743058e-7,100,100,0.75,0.05,0.5,Hamming
1.0884180123263988e-6,1000,100,0.75,0.05,0.5,Hamming
1.6543561252788844e-11,1,1000,0.75,0.05,0.5,Hamming
1.544079338566131e-10,10,1000,0.75,0.05,0.5,Hamming
1.25882905284121e-9,100,1000,0.75,0.05,0.5,Hamming
8.631169870812948e-9,1000,1000,0.75,0.05,0.5,Hamming
0.01283661247602788,1,1,0.75,0.1,0.5,Hamming
0.05023819527817241,10,1,0.75,0.1,0.5,Hamming
0.12140762768557016,100,1,0.75,0.1,0.5,Hamming
0.22144524424898135,1000,1,0.75,0.1,0.5,Hamming
1.3766673910933053e-5,1,10,0.75,0.1,0.5,Hamming
1.1802421967693564e-4,10,10,0.75,0.1,0.5,Hamming
7.576047888578232e-4,100,10,0.75,0.1,0.5,Hamming
0.00348866924492687,1000,10,0.75,0.1,0.5,Hamming
4.0600831407417656e-8,1,100,0.75,0.1,0.5,Hamming
3.93736600007187e-7,10,100,0.75,0.1,0.5,Hamming
3.448329927974647e-6,100,100,0.75,0.1,0.5,Hamming
2.494919363122692e-5,1000,100,0.75,0.1,0.5,Hamming
3.2923217936177267e-10,1,1000,0.75,0.1,0.5,Hamming
3.264871387665756e-9,10,1000,0.75,0.1,0.5,Hamming
3.118396574145514e-8,100,1000,0.75,0.1,0.5,Hamming
2.699898653114458e-7,1000,1000,0.75,0.1,0.5,Hamming
0.02708441518393422,1,1,0.75,0.15000000000000002,0.5,Hamming
0.11044135075507304,10,1,0.75,0.15000000000000002,0.5,Hamming
