p,q,n,scoring_method,eMaxHammingScore,fold
0.5,0,1,Hamming,21.58,1
0.6,0,1,Hamming,16.13,1
0.7,0,1,Hamming,12.02,1
0.8,0,1,Hamming,7.06,1
0.9,0,1,Hamming,3.35,1
1,0,1,Hamming,0,1
0.5,0.1,1,Hamming,21.15,1
0.6,0.1,1,Hamming,16.34,1
0.7,0.1,1,Hamming,11.99,1
0.8,0.1,1,Hamming,7.27,1
0.9,0.1,1,Hamming,6.11,1
1,0.1,1,Hamming,7,1
0.5,0.2,1,Hamming,22.04,1
0.6,0.2,1,Hamming,18.65,1
0.7,0.2,1,Hamming,17.32,1
0.8,0.2,1,Hamming,9.4,1
0.9,0.2,1,Hamming,7.78,1
1,0.2,1,Hamming,4,1
0.5,0.30000000000000004,1,Hamming,20.52,1
0.6,0.30000000000000004,1,Hamming,18.23,1
0.7,0.30000000000000004,1,Hamming,18.5,1
0.8,0.30000000000000004,1,Hamming,15.3,1
0.9,0.30000000000000004,1,Hamming,16.61,1
1,0.30000000000000004,1,Hamming,15,1
0.5,0.4,1,Hamming,21.38,1
0.6,0.4,1,Hamming,19.53,1
0.7,0.4,1,Hamming,17.2,1
0.8,0.4,1,Hamming,18.34,1
0.9,0.4,1,Hamming,17.73,1
1,0.4,1,Hamming,19,1
0.5,0.5,1,Hamming,21.38,1
0.6,0.5,1,Hamming,21.99,1
0.7,0.5,1,Hamming,22.1,1
0.8,0.5,1,Hamming,22.29,1
0.9,0.5,1,Hamming,18.8,1
1,0.5,1,Hamming,21,1
0.5,0.6000000000000001,1,Hamming,21.23,1
0.6,0.6000000000000001,1,Hamming,23.16,1
0.7,0.6000000000000001,1,Hamming,24.21,1
0.8,0.6000000000000001,1,Hamming,24.18,1
0.9,0.6000000000000001,1,Hamming,21.61,1
1,0.6000000000000001,1,Hamming,33,1
0.5,0.7000000000000001,1,Hamming,22.15,1
0.6,0.7000000000000001,1,Hamming,23.08,1
0.7,0.7000000000000001,1,Hamming,29.53,1
0.8,0.7000000000000001,1,Hamming,28.54,1
0.9,0.7000000000000001,1,Hamming,30.46,1
1,0.7000000000000001,1,Hamming,39,1
0.5,0.8,1,Hamming,21.75,1
0.6,0.8,1,Hamming,23.43,1
0.7,0.8,1,Hamming,28.36,1
0.8,0.8,1,Hamming,34.56,1
0.9,0.8,1,Hamming,31.57,1
1,0.8,1,Hamming,34,1
0.5,0.9,1,Hamming,20.88,1
0.6,0.9,1,Hamming,26.25,1
0.7,0.9,1,Hamming,32.36,1
0.8,0.9,1,Hamming,39.54,1
0.9,0.9,1,Hamming,47.31,1
1,0.9,1,Hamming,57,1
0.5,1,1,Hamming,20.71,1
0.6,1,1,Hamming,26.68,1
0.7,1,1,Hamming,34.62,1
0.8,1,1,Hamming,42.3,1
0.9,1,1,Hamming,51.92,1
1,1,1,Hamming,63,1
0.5,0,10,Hamming,24.42,1
0.6,0,10,Hamming,18.04,1
0.7,0,10,Hamming,13.14,1
0.8,0,10,Hamming,9.24,1
0.9,0,10,Hamming,4.72,1
1,0,10,Hamming,0,1
0.5,0.1,10,Hamming,25.65,1
0.6,0.1,10,Hamming,20.34,1
0.7,0.1,10,Hamming,18.02,1
0.8,0.1,10,Hamming,13.53,1
0.9,0.1,10,Hamming,8.85,1
1,0.1,10,Hamming,7,1
0.5,0.2,10,Hamming,26.79,1
0.6,0.2,10,Hamming,23.51,1
0.7,0.2,10,Hamming,20.03,1
0.8,0.2,10,Hamming,15.49,1
0.9,0.2,10,Hamming,15.19,1
1,0.2,10,Hamming,7,1
0.5,0.30000000000000004,10,Hamming,26.59,1
0.6,0.30000000000000004,10,Hamming,24.24,1
0.7,0.30000000000000004,10,Hamming,22.52,1
0.8,0.30000000000000004,10,Hamming,19.68,1
0.9,0.30000000000000004,10,Hamming,18.96,1
1,0.30000000000000004,10,Hamming,15,1
0.5,0.4,10,Hamming,26.74,1
0.6,0.4,10,Hamming,25.29,1
0.7,0.4,10,Hamming,24.67,1
0.8,0.4,10,Hamming,25.47,1
0.9,0.4,10,Hamming,21.56,1
1,0.4,10,Hamming,20,1
0.5,0.5,10,Hamming,26.92,1
0.6,0.5,10,Hamming,26.4,1
0.7,0.5,10,Hamming,25.52,1
0.8,0.5,10,Hamming,26.09,1
0.9,0.5,10,Hamming,27.75,1
1,0.5,10,Hamming,36,1
0.5,0.6000000000000001,10,Hamming,26.72,1
0.6,0.6000000000000001,10,Hamming,27.86,1
0.7,0.6000000000000001,10,Hamming,28.91,1
0.8,0.6000000000000001,10,Hamming,29.58,1
0.9,0.6000000000000001,10,Hamming,30.45,1
1,0.6000000000000001,10,Hamming,31,1
0.5,0.7000000000000001,10,Hamming,26.07,1
0.6,0.7000000000000001,10,Hamming,28.88,1
0.7,0.7000000000000001,10,Hamming,31.2,1
0.8,0.7000000000000001,10,Hamming,35.13,1
0.9,0.7000000000000001,10,Hamming,35.5,1
1,0.7000000000000001,10,Hamming,36,1
0.5,0.8,10,Hamming,27.24,1
0.6,0.8,10,Hamming,30.6,1
0.7,0.8,10,Hamming,34.38,1
0.8,0.8,10,Hamming,39.31,1
0.9,0.8,10,Hamming,41.38,1
1,0.8,10,Hamming,47,1
0.5,0.9,10,Hamming,26.14,1
0.6,0.9,10,Hamming,31.26,1
0.7,0.9,10,Hamming,36.07,1
0.8,0.9,10,Hamming,44.58,1
0.9,0.9,10,Hamming,49.68,1
1,0.9,10,Hamming,54,1
0.5,1,10,Hamming,24.45,1
0.6,1,10,Hamming,29.89,1
0.7,1,10,Hamming,36.93,1
0.8,1,10,Hamming,45.02,1
0.9,1,10,Hamming,54.01,1
1,1,10,Hamming,63,1
0.5,0,100,Hamming,29.23,1
0.6,0,100,Hamming,22.9,1
0.7,0,100,Hamming,17.48,1
0.8,0,100,Hamming,12.52,1
0.9,0,100,Hamming,7.16,1
1,0,100,Hamming,0,1
0.5,0.1,100,Hamming,30.86,1
0.6,0.1,100,Hamming,27.23,1
0.7,0.1,100,Hamming,22.12,1
0.8,0.1,100,Hamming,18.46,1
0.9,0.1,100,Hamming,13.09,1
1,0.1,100,Hamming,8,1
0.5,0.2,100,Hamming,31.61,1
0.6,0.2,100,Hamming,27.66,1
0.7,0.2,100,Hamming,23.62,1
0.8,0.2,100,Hamming,21.01,1
0.9,0.2,100,Hamming,16.87,1
1,0.2,100,Hamming,12,1
0.5,0.30000000000000004,100,Hamming,30.61,1
0.6,0.30000000000000004,100,Hamming,28.29,1
0.7,0.30000000000000004,100,Hamming,25.76,1
0.8,0.30000000000000004,100,Hamming,23.69,1
0.9,0.30000000000000004,100,Hamming,21.54,1
1,0.30000000000000004,100,Hamming,21,1
0.5,0.4,100,Hamming,30.51,1
0.6,0.4,100,Hamming,29.33,1
0.7,0.4,100,Hamming,28.71,1
0.8,0.4,100,Hamming,26.88,1
0.9,0.4,100,Hamming,26.14,1
1,0.4,100,Hamming,25,1
0.5,0.5,100,Hamming,30.4,1
0.6,0.5,100,Hamming,30.69,1
0.7,0.5,100,Hamming,30.02,1
0.8,0.5,100,Hamming,30.09,1
0.9,0.5,100,Hamming,30.36,1
1,0.5,100,Hamming,30,1
0.5,0.6000000000000001,100,Hamming,30.29,1
0.6,0.6000000000000001,100,Hamming,31.75,1
0.7,0.6000000000000001,100,Hamming,33.28,1
0.8,0.6000000000000001,100,Hamming,35.09,1
0.9,0.6000000000000001,100,Hamming,36.74,1
1,0.6000000000000001,100,Hamming,39,1
0.5,0.7000000000000001,100,Hamming,31.21,1
0.6,0.7000000000000001,100,Hamming,34.05,1
0.7,0.7000000000000001,100,Hamming,36.28,1
0.8,0.7000000000000001,100,Hamming,38.06,1
0.9,0.7000000000000001,100,Hamming,39.6,1
1,0.7000000000000001,100,Hamming,43,1
0.5,0.8,100,Hamming,32.11,1
0.6,0.8,100,Hamming,35.68,1
0.7,0.8,100,Hamming,39.23,1
0.8,0.8,100,Hamming,44.64,1
0.9,0.8,100,Hamming,47.26,1
1,0.8,100,Hamming,49,1
0.5,0.9,100,Hamming,30.89,1
0.6,0.9,100,Hamming,37.26,1
0.7,0.9,100,Hamming,42.03,1
0.8,0.9,100,Hamming,47.47,1
0.9,0.9,100,Hamming,54.16,1
1,0.9,100,Hamming,58,1
0.5,1,100,Hamming,28.37,1
0.6,1,100,Hamming,35.65,1
0.7,1,100,Hamming,41.44,1
0.8,1,100,Hamming,48.96,1
0.9,1,100,Hamming,57.26,1
1,1,100,Hamming,63,1
0.5,0,1000,Hamming,35.88,1
0.6,0,1000,Hamming,28.76,1
0.7,0,1000,Hamming,23.92,1
0.8,0,1000,Hamming,16.72,1
0.9,0,1000,Hamming,10.8,1
1,0,1000,Hamming,0,1
0.5,0.1,1000,Hamming,38.39,1
0.6,0.1,1000,Hamming,33.5,1
0.7,0.1,1000,Hamming,27.78,1
0.8,0.1,1000,Hamming,23.13,1
0.9,0.1,1000,Hamming,17.83,1
1,0.1,1000,Hamming,12,1
0.5,0.2,1000,Hamming,36.95,1
0.6,0.2,1000,Hamming,33.61,1
