p,qE,qL,q_cutoff,n,scoring_method,eMaxHammingScore,fold
0.75,0.5,0.5,1.5,1,Hamming,19.04,1
0.75,0.55,0.5,1.5,1,Hamming,23.33,1
0.75,0.6,0.5,1.5,1,Hamming,23.8,1
0.75,0.65,0.5,1.5,1,Hamming,24.03,1
0.75,0.7,0.5,1.5,1,Hamming,24.06,1
0.75,0.75,0.5,1.5,1,Hamming,27.23,1
0.75,0.8,0.5,1.5,1,Hamming,26.9,1
0.75,0.8500000000000001,0.5,1.5,1,Hamming,26.6,1
0.75,0.9,0.5,1.5,1,Hamming,27.53,1
0.75,0.95,0.5,1.5,1,Hamming,32.68,1
0.75,1,0.5,1.5,1,Hamming,32.05,1
0.75,0.5,0.55,1.5,1,Hamming,25.65,1
0.75,0.55,0.55,1.5,1,Hamming,19.23,1
0.75,0.6,0.55,1.5,1,Hamming,21.25,1
0.75,0.65,0.55,1.5,1,Hamming,21.8,1
0.75,0.7,0.55,1.5,1,Hamming,24.45,1
0.75,0.75,0.55,1.5,1,Hamming,28.71,1
0.75,0.8,0.55,1.5,1,Hamming,26.53,1
0.75,0.8500000000000001,0.55,1.5,1,Hamming,27.18,1
0.75,0.9,0.55,1.5,1,Hamming,29.44,1
0.75,0.95,0.55,1.5,1,Hamming,33.15,1
0.75,1,0.55,1.5,1,Hamming,33.15,1
0.75,0.5,0.6,1.5,1,Hamming,18.46,1
0.75,0.55,0.6,1.5,1,Hamming,24.55,1
0.75,0.6,0.6,1.5,1,Hamming,22.68,1
0.75,0.65,0.6,1.5,1,Hamming,21.13,1
0.75,0.7,0.6,1.5,1,Hamming,25.65,1
0.75,0.75,0.6,1.5,1,Hamming,25.12,1
0.75,0.8,0.6,1.5,1,Hamming,27.33,1
0.75,0.8500000000000001,0.6,1.5,1,Hamming,32.22,1
0.75,0.9,0.6,1.5,1,Hamming,30.58,1
0.75,0.95,0.6,1.5,1,Hamming,33.13,1
0.75,1,0.6,1.5,1,Hamming,33.83,1
0.75,0.5,0.65,1.5,1,Hamming,25.69,1
0.75,0.55,0.65,1.5,1,Hamming,24.66,1
0.75,0.6,0.65,1.5,1,Hamming,24.18,1
