p,qE,qL,q_cutoff,n,scoring_method,eMaxScore,fold
0.75,0.5,0.5,1.5,1,ESPN,286.8,1
0.75,0.55,0.5,1.5,1,ESPN,313.1,1
0.75,0.6,0.5,1.5,1,ESPN,386.9,1
0.75,0.65,0.5,1.5,1,ESPN,368.9,1
0.75,0.7,0.5,1.5,1,ESPN,335,1
0.75,0.75,0.5,1.5,1,ESPN,414.1,1
0.75,0.8,0.5,1.5,1,ESPN,412.2,1
0.75,0.8500000000000001,0.5,1.5,1,ESPN,363.7,1
0.75,0.9,0.5,1.5,1,ESPN,373.4,1
0.75,0.95,0.5,1.5,1,ESPN,507,1
0.75,1,0.5,1.5,1,ESPN,457.9,1
0.75,0.5,0.55,1.5,1,ESPN,569.2,1
0.75,0.55,0.55,1.5,1,ESPN,245.1,1
0.75,0.6,0.55,1.5,1,ESPN,302.3,1
0.75,0.65,0.55,1.5,1,ESPN,297.9,1
0.75,0.7,0.55,1.5,1,ESPN,351.8,1
0.75,0.75,0.55,1.5,1,ESPN,419.7,1
0.75,0.8,0.55,1.5,1,ESPN,409.5,1
0.75,0.8500000000000001,0.55,1.5,1,ESPN,405.7,1
0.75,0.9,0.55,1.5,1,ESPN,439.3,1
0.75,0.95,0.55,1.5,1,ESPN,497.2,1
0.75,1,0.55,1.5,1,ESPN,520.9,1
0.75,0.5,0.6,1.5,1,ESPN,247.5,1
0.75,0.55,0.6,1.5,1,ESPN,375.6,1
0.75,0.6,0.6,1.5,1,ESPN,362.9,1
0.75,0.65,0.6,1.5,1,ESPN,317.2,1
0.75,0.7,0.6,1.5,1,ESPN,412.8,1
0.75,0.75,0.6,1.5,1,ESPN,346.5,1
0.75,0.8,0.6,1.5,1,ESPN,447.2,1
0.75,0.8500000000000001,0.6,1.5,1,ESPN,482.5,1
0.75,0.9,0.6,1.5,1,ESPN,497.1,1
0.75,0.95,0.6,1.5,1,ESPN,536.2,1
0.75,1,0.6,1.5,1,ESPN,499,1
0.75,0.5,0.65,1.5,1,ESPN,435.5,1
0.75,0.55,0.65,1.5,1,ESPN,424.3,1
0.75,0.6,0.65,1.5,1,ESPN,378.9,1
0.75,0.65,0.65,1.5,1,ESPN,422.8,1
0.75,0.7,0.65,1.5,1,ESPN,461.1,1
0.75,0.75,0.65,1.5,1,ESPN,618.9,1
0.75,0.8,0.65,1.5,1,ESPN,341.1,1
0.75,0.8500000000000001,0.65,1.5,1,ESPN,462.2,1
0.75,0.9,0.65,1.5,1,ESPN,558.2,1
0.75,0.95,0.65,1.5,1,ESPN,614.3,1
0.75,1,0.65,1.5,1,ESPN,487.9,1
0.75,0.5,0.7,1.5,1,ESPN,351.8,1
0.75,0.55,0.7,1.5,1,ESPN,410.5,1
0.75,0.6,0.7,1.5,1,ESPN,460.4,1
0.75,0.65,0.7,1.5,1,ESPN,385.4,1
0.75,0.7,0.7,1.5,1,ESPN,479,1
0.75,0.75,0.7,1.5,1,ESPN,431,1
0.75,0.8,0.7,1.5,1,ESPN,492.1,1
0.75,0.8500000000000001,0.7,1.5,1,ESPN,399.1,1
0.75,0.9,0.7,1.5,1,ESPN,538.9,1
0.75,0.95,0.7,1.5,1,ESPN,389.3,1
0.75,1,0.7,1.5,1,ESPN,618.5,1
0.75,0.5,0.75,1.5,1,ESPN,369.4,1
0.75,0.55,0.75,1.5,1,ESPN,603.4,1
0.75,0.6,0.75,1.5,1,ESPN,452.2,1
0.75,0.65,0.75,1.5,1,ESPN,433.6,1
0.75,0.7,0.75,1.5,1,ESPN,415.8,1
0.75,0.75,0.75,1.5,1,ESPN,565.5,1
0.75,0.8,0.75,1.5,1,ESPN,517.3,1
0.75,0.8500000000000001,0.75,1.5,1,ESPN,709.6,1
0.75,0.9,0.75,1.5,1,ESPN,522.3,1
0.75,0.95,0.75,1.5,1,ESPN,629.6,1
0.75,1,0.75,1.5,1,ESPN,563.6,1
0.75,0.5,0.8,1.5,1,ESPN,402.4,1
0.75,0.55,0.8,1.5,1,ESPN,483.4,1
0.75,0.6,0.8,1.5,1,ESPN,483.3,1
0.75,0.65,0.8,1.5,1,ESPN,401.5,1
0.75,0.7,0.8,1.5,1,ESPN,468.1,1
0.75,0.75,0.8,1.5,1,ESPN,495.8,1
0.75,0.8,0.8,1.5,1,ESPN,595.8,1
0.75,0.8500000000000001,0.8,1.5,1,ESPN,479.3,1
0.75,0.9,0.8,1.5,1,ESPN,595.3,1
0.75,0.95,0.8,1.5,1,ESPN,636.5,1
0.75,1,0.8,1.5,1,ESPN,649.1,1
0.75,0.5,0.8500000000000001,1.5,1,ESPN,387.2,1
0.75,0.55,0.8500000000000001,1.5,1,ESPN,345.3,1
0.75,0.6,0.8500000000000001,1.5,1,ESPN,438.7,1
0.75,0.65,0.8500000000000001,1.5,1,ESPN,440.2,1
0.75,0.7,0.8500000000000001,1.5,1,ESPN,514,1
0.75,0.75,0.8500000000000001,1.5,1,ESPN,537.4,1
0.75,0.8,0.8500000000000001,1.5,1,ESPN,615.4,1
0.75,0.8500000000000001,0.8500000000000001,1.5,1,ESPN,611.3,1
0.75,0.9,0.8500000000000001,1.5,1,ESPN,552.8,1
0.75,0.95,0.8500000000000001,1.5,1,ESPN,733.2,1
0.75,1,0.8500000000000001,1.5,1,ESPN,650.3,1
0.75,0.5,0.9,1.5,1,ESPN,517.7,1
0.75,0.55,0.9,1.5,1,ESPN,499.9,1
0.75,0.6,0.9,1.5,1,ESPN,532.7,1
0.75,0.65,0.9,1.5,1,ESPN,498.4,1
0.75,0.7,0.9,1.5,1,ESPN,628.7,1
0.75,0.75,0.9,1.5,1,ESPN,642.7,1
0.75,0.8,0.9,1.5,1,ESPN,691.6,1
0.75,0.8500000000000001,0.9,1.5,1,ESPN,611.9,1
0.75,0.9,0.9,1.5,1,ESPN,605,1
0.75,0.95,0.9,1.5,1,ESPN,543.6,1
0.75,1,0.9,1.5,1,ESPN,737.7,1
0.75,0.5,0.95,1.5,1,ESPN,583.2,1
0.75,0.55,0.95,1.5,1,ESPN,518.8,1
0.75,0.6,0.95,1.5,1,ESPN,383.7,1
0.75,0.65,0.95,1.5,1,ESPN,466.3,1
0.75,0.7,0.95,1.5,1,ESPN,560.4,1
0.75,0.75,0.95,1.5,1,ESPN,687.9,1
0.75,0.8,0.95,1.5,1,ESPN,632,1
0.75,0.8500000000000001,0.95,1.5,1,ESPN,609.5,1
0.75,0.9,0.95,1.5,1,ESPN,721.5,1
0.75,0.95,0.95,1.5,1,ESPN,701.6,1
0.75,1,0.95,1.5,1,ESPN,724,1
0.75,0.5,1,1.5,1,ESPN,522.2,1
0.75,0.55,1,1.5,1,ESPN,698.8,1
0.75,0.6,1,1.5,1,ESPN,622.1,1
0.75,0.65,1,1.5,1,ESPN,583.6,1
0.75,0.7,1,1.5,1,ESPN,543.7,1
0.75,0.75,1,1.5,1,ESPN,654.3,1
0.75,0.8,1,1.5,1,ESPN,595.8,1
0.75,0.8500000000000001,1,1.5,1,ESPN,807.1,1
0.75,0.9,1,1.5,1,ESPN,764.8,1
0.75,0.95,1,1.5,1,ESPN,823.5,1
0.75,1,1,1.5,1,ESPN,856.1,1
0.75,0.5,0.5,2.5,1,ESPN,244.5,1
0.75,0.55,0.5,2.5,1,ESPN,425.2,1
0.75,0.6,0.5,2.5,1,ESPN,423.6,1
0.75,0.65,0.5,2.5,1,ESPN,508.6,1
0.75,0.7,0.5,2.5,1,ESPN,331.6,1
0.75,0.75,0.5,2.5,1,ESPN,385.3,1
0.75,0.8,0.5,2.5,1,ESPN,535.9,1
0.75,0.8500000000000001,0.5,2.5,1,ESPN,435.3,1
