h,n,entropy_cutoff,left_tail,eMaxESPN_scores,eMaxHamming_scores
40,1,41,TRUE,721.3864,32.96884
41,1,42,TRUE,728.5224,33.54868
42,1,43,TRUE,740.4728,34.20164
43,1,44,TRUE,740.1792,34.36632
44,1,46,TRUE,743.1591999999999,34.92824
45,1,47,TRUE,727.9304,35.24372
46,1,48,TRUE,779.2304,35.87444
47,1,50,TRUE,723.4408,35.46756
48,1,53,TRUE,724.4112,35.48656
49,1,43,FALSE,734.8824,35.84396
50,1,46,FALSE,701.2776,35.18212
51,1,48,FALSE,688.924,35.28916
52,1,50,FALSE,666.196,34.51224
53,1,51,FALSE,652.1496,34.19692
54,1,52,FALSE,654.4664,34.1202
55,1,53,FALSE,641.1112,33.62116
56,1,54,FALSE,613.4824,33.38588
57,1,55,FALSE,609.6488,33.1002
58,1,56,FALSE,604.2616,33.038759999999996
40,10,41,TRUE,1067.3372,41.23952
41,10,42,TRUE,1067.6248,41.3286
42,10,43,TRUE,1063.9,41.18072
43,10,44,TRUE,1068.958,41.271
44,10,46,TRUE,1067.4784,41.307
45,10,47,TRUE,1072.144,41.4838
46,10,48,TRUE,1063.6072,41.48572
47,10,50,TRUE,1046.3824,41.36948
48,10,53,TRUE,1031.1168,41.198
49,10,43,FALSE,1009.4664,41.0092
50,10,46,FALSE,999.9772,41.05412
51,10,48,FALSE,979.5128,41.0042
52,10,50,FALSE,949.2328,40.8298
53,10,51,FALSE,942.2348,40.89312
54,10,52,FALSE,929.6248,40.94968
55,10,53,FALSE,914.9292,40.80008
56,10,54,FALSE,906.2132,40.7962
57,10,55,FALSE,892.7712,40.71932
58,10,56,FALSE,890.636,40.82956
40,100,41,TRUE,1335.9924,48.93396
41,100,42,TRUE,1340.724,48.90444
42,100,43,TRUE,1345.4036,48.87888
43,100,44,TRUE,1347.508,48.8784
44,100,46,TRUE,1354.3004,48.9492
45,100,47,TRUE,1350.1412,48.87844
46,100,48,TRUE,1351.9292,48.88148
47,100,50,TRUE,1336.268,48.62872
48,100,53,TRUE,1308.2764,48.231
49,100,43,FALSE,1290.2664,47.89296
50,100,46,FALSE,1276.466,47.9364
51,100,48,FALSE,1246.2536,47.62812
52,100,50,FALSE,1209.3532,47.2588
53,100,51,FALSE,1190.2108,47.0526
54,100,52,FALSE,1178.718,46.9434
55,100,53,FALSE,1165.5368,46.86808
56,100,54,FALSE,1155.5744,46.85124
57,100,55,FALSE,1148.4,46.86672
58,100,56,FALSE,1142.9676,46.86524
40,1000,41,TRUE,1542.664,56.16408
41,1000,42,TRUE,1547.7148,56.2158
42,1000,43,TRUE,1555.7836,56.29072
43,1000,44,TRUE,1560.8652,56.3834
44,1000,46,TRUE,1572.9432,56.67132
45,1000,47,TRUE,1577.672,56.81984
46,1000,48,TRUE,1582.302,56.96304
47,1000,50,TRUE,1575.674,56.90784
48,1000,53,TRUE,1552.4984,56.49536
49,1000,43,FALSE,1529.1808,55.96628
50,1000,46,FALSE,1512.1344,55.78228
51,1000,48,FALSE,1479.8976,55.2434
52,1000,50,FALSE,1432.5352,54.5114
53,1000,51,FALSE,1407.64,53.9922
54,1000,52,FALSE,1393.1128,53.68632
55,1000,53,FALSE,1383.1752,53.4884
56,1000,54,FALSE,1375.2516,53.42468
57,1000,55,FALSE,1367.4432,53.37976
58,1000,56,FALSE,1364.2316,53.38108
40,10000,41,TRUE,1636.0956,58.82292
41,10000,42,TRUE,1643.5516,58.84364
42,10000,43,TRUE,1650.7792,58.88932
43,10000,44,TRUE,1658.29,58.94572
44,10000,46,TRUE,1672.5548,59.09796
45,10000,47,TRUE,1679.77,59.25896
46,10000,48,TRUE,1686.5484,59.44048
47,10000,50,TRUE,1693.3952,59.58672
48,10000,53,TRUE,1680.5192,59.28048
49,10000,43,FALSE,1664.2732,58.84372
50,10000,46,FALSE,1653.4456,58.61616
51,10000,48,FALSE,1624.6888,58.05652
52,10000,50,FALSE,1573.5012,57.28004
53,10000,51,FALSE,1558.6284,56.990520000000004
54,10000,52,FALSE,1542.838,56.86556
55,10000,53,FALSE,1533.564,56.85704
56,10000,54,FALSE,1529.618,56.89412
57,10000,55,FALSE,1522.7512,56.93364
58,10000,56,FALSE,1521.8204,57.01704
