h,opp_prob_method,n,k,entropy_cutoff,left_tail,wpESPN_scores,wpHamming_scores
40,naive_chalky,100,100,41,TRUE,0.61048,0.64292
41,naive_chalky,100,100,42,TRUE,0.61536,0.64624
42,naive_chalky,100,100,43,TRUE,0.62716,0.64352
43,naive_chalky,100,100,44,TRUE,0.62708,0.63724
44,naive_chalky,100,100,46,TRUE,0.645,0.63404
45,naive_chalky,100,100,47,TRUE,0.6628,0.63388
46,naive_chalky,100,100,48,TRUE,0.66524,0.63932
47,naive_chalky,100,100,50,TRUE,0.66252,0.61948
48,naive_chalky,100,100,53,TRUE,0.63532,0.59544
49,naive_chalky,100,100,43,FALSE,0.58972,0.5718
50,naive_chalky,100,100,46,FALSE,0.56144,0.586
51,naive_chalky,100,100,48,FALSE,0.49492,0.56408
52,naive_chalky,100,100,50,FALSE,0.39504,0.52632
53,naive_chalky,100,100,51,FALSE,0.368,0.51148
54,naive_chalky,100,100,52,FALSE,0.35016,0.50804
55,naive_chalky,100,100,53,FALSE,0.33668,0.5112
56,naive_chalky,100,100,54,FALSE,0.34336,0.52084
57,naive_chalky,100,100,55,FALSE,0.3268,0.51504
58,naive_chalky,100,100,56,FALSE,0.32752,0.50556
40,naive_chalky,100,1000,41,TRUE,0.40172,0.12224
41,naive_chalky,100,1000,42,TRUE,0.40404,0.10568
42,naive_chalky,100,1000,43,TRUE,0.38548,0.08984
43,naive_chalky,100,1000,44,TRUE,0.39104,0.09248
44,naive_chalky,100,1000,46,TRUE,0.36128,0.0674
45,naive_chalky,100,1000,47,TRUE,0.36028,0.05508
46,naive_chalky,100,1000,48,TRUE,0.34116,0.04384
47,naive_chalky,100,1000,50,TRUE,0.28812,0.02468
48,naive_chalky,100,1000,53,TRUE,0.20764,0.01272
49,naive_chalky,100,1000,43,FALSE,0.1314,0.008960000000000001
50,naive_chalky,100,1000,46,FALSE,0.12544,0.0126
51,naive_chalky,100,1000,48,FALSE,0.08436,0.02284
52,naive_chalky,100,1000,50,FALSE,0.07148,0.03432
53,naive_chalky,100,1000,51,FALSE,0.07476,0.03828
54,naive_chalky,100,1000,52,FALSE,0.07252,0.04736
55,naive_chalky,100,1000,53,FALSE,0.08464,0.049640000000000004
56,naive_chalky,100,1000,54,FALSE,0.0828,0.05372
57,naive_chalky,100,1000,55,FALSE,0.08936,0.05672
58,naive_chalky,100,1000,56,FALSE,0.08828,0.06132
40,naive_chalky,100,10000,41,TRUE,0.17644,0.0306
41,naive_chalky,100,10000,42,TRUE,0.18272,0.02564
42,naive_chalky,100,10000,43,TRUE,0.17228,0.02904
43,naive_chalky,100,10000,44,TRUE,0.16204,0.01968
44,naive_chalky,100,10000,46,TRUE,0.11476,0.00936
45,naive_chalky,100,10000,47,TRUE,0.11416,0.00848
46,naive_chalky,100,10000,48,TRUE,0.07792,0.00376
