lambda,n,strat,eMaxESPN_scores,eMaxHamming_scores
0,100,1,1294.4612,47.85484
0.05,100,1,1304.1804,48.11564
0.1,100,1,1308.884,48.52244
0.15000000000000002,100,1,1331.3124,48.802
0.2,100,1,1344.6988000000001,49.13596
0.25,100,1,1350.3912,49.409
0.30000000000000004,100,1,1361.2892,49.7086
0.35000000000000003,100,1,1371.6296,50.03292
0.4,100,1,1384.7092,50.35408
0.45,100,1,1390.6412,50.64176
0.5,100,1,1398.8684,50.86404
0.55,100,1,1408.376,51.18824
0.6000000000000001,100,1,1411.9056,51.41848
0.65,100,1,1416.5212,51.64156
0.7000000000000001,100,1,1419.674,51.87096
0.75,100,1,1422.4724,52.11216
0.8,100,1,1419.2032,52.2368
0.8500000000000001,100,1,1411.0584,52.30956
0.9,100,1,1400.3004,52.28216
0.9500000000000001,100,1,1382.8364,52.09816
1,100,1,1317.4128,51.11704
0,1000,1,1530.8144,56.01236
0.05,1000,1,1546.0492,56.25432
0.1,1000,1,1554.5284,56.43236
0.15000000000000002,1000,1,1563.1044,56.72808
0.2,1000,1,1574.1728,56.98576
0.25,1000,1,1581.3976,57.20616
0.30000000000000004,1000,1,1588.7952,57.40808
0.35000000000000003,1000,1,1595.5452,57.64764
0.4,1000,1,1601.8864,57.83152
0.45,1000,1,1608.3336,58.09256
0.5,1000,1,1612.3312,58.31112
0.55,1000,1,1614.6824,58.49508
0.6000000000000001,1000,1,1615.832,58.70052
0.65,1000,1,1616.6836,58.87968
0.7000000000000001,1000,1,1612.156,58.99452
0.75,1000,1,1608.6768,59.07544
0.8,1000,1,1602.33,59.13716
0.8500000000000001,1000,1,1591.274,59.13728
0.9,1000,1,1578.676,59.10112
0.9500000000000001,1000,1,1552.38,58.94316
1,1000,1,1463.8944,58.2236
0,10000,1,1667.752,58.91932
0.05,10000,1,1672.6008,58.99816
0.1,10000,1,1682.51,59.25516
0.15000000000000002,10000,1,1691.8344,59.47092
0.2,10000,1,1698.4624,59.67768
0.25,10000,1,1704.5608,59.8372
0.30000000000000004,10000,1,1709.7164,60.04504
0.35000000000000003,10000,1,1713.516,60.2176
0.4,10000,1,1716.0792,60.37928
0.45,10000,1,1719.294,60.5452
0.5,10000,1,1719.6048,60.683
0.55,10000,1,1719.7632,60.7922
0.6000000000000001,10000,1,1716.8056,60.89236
0.65,10000,1,1714.9224,61.0124
0.7000000000000001,10000,1,1709.342,61.07288
0.75,10000,1,1702.5112,61.13668
0.8,10000,1,1692.7788,61.17184
0.8500000000000001,10000,1,1678.164,61.17672
0.9,10000,1,1659.3672,61.13832
0.9500000000000001,10000,1,1633.54,61.04448
1,10000,1,1508.4928,60.30936
