lambda,opp_prob_method,n,k,strat,wpESPN_scores,wpHamming_scores
0,naive_chalky,100,100,3,0.00764,4e-5
0.05,naive_chalky,100,100,3,0.0134,1.2e-4
0.1,naive_chalky,100,100,3,0.01872,1.6e-4
0.15000000000000002,naive_chalky,100,100,3,0.03192,9.2e-4
0.2,naive_chalky,100,100,3,0.0512,0.00232
0.25,naive_chalky,100,100,3,0.07636,0.0072
0.30000000000000004,naive_chalky,100,100,3,0.12276000000000001,0.01936
0.35000000000000003,naive_chalky,100,100,3,0.18112,0.04996
0.4,naive_chalky,100,100,3,0.30056,0.1438
0.45,naive_chalky,100,100,3,0.48236,0.31504
0.5,naive_chalky,100,100,3,0.61172,0.58484
0.55,naive_chalky,100,100,3,0.65004,0.64792
0.6000000000000001,naive_chalky,100,100,3,0.70568,0.73632
0.65,naive_chalky,100,100,3,0.73644,0.79836
0.7000000000000001,naive_chalky,100,100,3,0.75,0.83792
0.75,naive_chalky,100,100,3,0.77188,0.88192
0.8,naive_chalky,100,100,3,0.77876,0.91016
0.8500000000000001,naive_chalky,100,100,3,0.78232,0.92272
0.9,naive_chalky,100,100,3,0.76124,0.92728
0.9500000000000001,naive_chalky,100,100,3,0.71384,0.9204
1,naive_chalky,100,100,3,0.5852,0.83456
0,naive_chalky,100,1000,3,0.0012000000000000001,0
0.05,naive_chalky,100,1000,3,0.00188,0
0.1,naive_chalky,100,1000,3,0.00236,0
0.15000000000000002,naive_chalky,100,1000,3,0.0044,0
0.2,naive_chalky,100,1000,3,0.00728,0
0.25,naive_chalky,100,1000,3,0.01148,0
0.30000000000000004,naive_chalky,100,1000,3,0.01448,4e-5
0.35000000000000003,naive_chalky,100,1000,3,0.02392,1.6e-4
0.4,naive_chalky,100,1000,3,0.0328,3.6e-4
0.45,naive_chalky,100,1000,3,0.067,0.00164
0.5,naive_chalky,100,1000,3,0.1554,0.00812
0.55,naive_chalky,100,1000,3,0.19512,0.01692
0.6000000000000001,naive_chalky,100,1000,3,0.23088,0.03608
0.65,naive_chalky,100,1000,3,0.29688,0.06068
0.7000000000000001,naive_chalky,100,1000,3,0.33584,0.10164
0.75,naive_chalky,100,1000,3,0.39076,0.15568
0.8,naive_chalky,100,1000,3,0.4476,0.21952
0.8500000000000001,naive_chalky,100,1000,3,0.46772,0.26892
0.9,naive_chalky,100,1000,3,0.46988,0.31364
0.9500000000000001,naive_chalky,100,1000,3,0.45864,0.32004
1,naive_chalky,100,1000,3,0.33972,0.24424
0,naive_chalky,100,10000,3,8e-5,0
0.05,naive_chalky,100,10000,3,1.6e-4,0
0.1,naive_chalky,100,10000,3,3.6e-4,0
0.15000000000000002,naive_chalky,100,10000,3,4e-4,0
