p,q,n,eMaxScore
0.5,0,1,31.499999999999996
0.6,0,1,25.2
0.7,0,1,18.9
0.8,0,1,12.599999999999996
0.9,0,1,6.299999999999998
1,0,1,0
0.5,0.1,1,31.50000000000001
0.6,0.1,1,26.46000000000003
0.7,0.1,1,21.419999999999995
0.8,0.1,1,16.379999999999992
0.9,0.1,1,11.34
1,0.1,1,6.30000000000001
0.5,0.2,1,31.500000000000018
0.6,0.2,1,27.720000000000006
0.7,0.2,1,23.940000000000023
0.8,0.2,1,20.160000000000007
0.9,0.2,1,16.38000000000001
1,0.2,1,12.600000000000005
0.5,0.30000000000000004,1,31.499999999999996
0.6,0.30000000000000004,1,28.980000000000093
0.7,0.30000000000000004,1,26.460000000000054
0.8,0.30000000000000004,1,23.940000000000026
0.9,0.30000000000000004,1,21.420000000000016
1,0.30000000000000004,1,18.900000000000013
0.5,0.4,1,31.500000000000036
0.6,0.4,1,30.240000000000023
0.7,0.4,1,28.980000000000082
0.8,0.4,1,27.72000000000001
0.9,0.4,1,26.46000000000001
1,0.4,1,25.200000000000006
0.5,0.5,1,31.49999999999999
0.6,0.5,1,31.50000000000004
0.7,0.5,1,31.50000000000003
0.8,0.5,1,31.500000000000018
0.9,0.5,1,31.500000000000057
1,0.5,1,31.499999999999996
0.5,0.6000000000000001,1,31.500000000000018
0.6,0.6000000000000001,1,32.760000000000026
0.7,0.6000000000000001,1,34.02000000000004
0.8,0.6000000000000001,1,35.280000000000015
0.9,0.6000000000000001,1,36.54000000000003
1,0.6000000000000001,1,37.80000000000002
0.5,0.7000000000000001,1,31.500000000000057
0.6,0.7000000000000001,1,34.02000000000004
0.7,0.7000000000000001,1,36.54
0.8,0.7000000000000001,1,39.06000000000005
0.9,0.7000000000000001,1,41.58000000000002
1,0.7000000000000001,1,44.1
0.5,0.8,1,31.500000000000032
0.6,0.8,1,35.28000000000004
0.7,0.8,1,39.06000000000006
0.8,0.8,1,42.839999999999996
0.9,0.8,1,46.620000000000026
1,0.8,1,50.39999999999999
0.5,0.9,1,31.500000000000075
0.6,0.9,1,36.540000000000035
0.7,0.9,1,41.58000000000004
0.8,0.9,1,46.620000000000026
0.9,0.9,1,51.66000000000001
1,0.9,1,56.69999999999998
0.5,1,1,31.499999999999996
0.6,1,1,37.80000000000001
0.7,1,1,44.1
0.8,1,1,50.39999999999999
0.9,1,1,56.69999999999998
1,1,1,63
0.5,0,10,31.499999999999996
0.6,0,10,25.2
0.7,0,10,18.9
0.8,0,10,12.599999999999996
0.9,0,10,6.299999999999998
1,0,10,0
0.5,0.1,10,34.93015221823203
0.6,0.1,10,29.69528878696643
0.7,0.1,10,24.2720795517712
0.8,0.1,10,18.592837663936393
0.9,0.1,10,12.570231900118793
1,0.1,10,6.30000000000001
0.5,0.2,10,36.22735385381856
0.6,0.2,10,32.26941172854146
0.7,0.2,10,28.0879769428889
0.8,0.2,10,23.612409355317897
0.9,0.2,10,18.5928376639364
1,0.2,10,12.600000000000005
0.5,0.30000000000000004,10,36.96381942344912
0.6,0.30000000000000004,10,34.278470885520456
0.7,0.30000000000000004,10,31.342487100084178
0.8,0.30000000000000004,10,28.087976942888886
0.9,0.30000000000000004,10,24.2720795517712
1,0.30000000000000004,10,18.900000000000013
0.5,0.4,10,37.361036796144
0.6,0.4,10,35.95275611407782
0.7,0.4,10,34.27847088552045
0.8,0.4,10,32.26941172854146
0.9,0.4,10,29.695288786966405
1,0.4,10,25.200000000000006
0.5,0.5,10,37.487551335545966
0.6,0.5,10,37.361036796143985
