PP,horse,sire,trainer,jockey,ML_decimal_odds,probs,result,winner,race_num
1,Prayer Book,Uncle Mo,Amira  Chichakly,Gary  Richards,11,0.04809481549340128,NA,0,1
2,Prince of Joy,Laoban,Ricardo E. Legall,Jacqueline A. Davis,21,0.02519252240130543,3,0,1
3,Arrio,Paynter,Mertkan  Kantarmaci,Eric  Cancel,5.5,0.09618963098680255,NA,0,1
4,Mighty Meister,Wicked Strong,Alcina  Rawles,Jhonatan  Mendoza,16,0.033065185651713375,NA,0,1
5,Hilliard,Temple City,Michael J. Maker,"Irad  Ortiz, Jr.",2.2,0.24047407746700636,NA,0,1
6,Voliero,Summer Front,Randi  Persaud,Jalon L. Samuel,11,0.04809481549340128,4,0,1
7,Sonic Speed,Maclean's Music,Thomas  Morley,Trevor  McCarthy,5,0.10580859408548281,NA,0,1
8,Invective,Holy Boss,Jane  Cibelli,Jose L. Ortiz,7,0.07557756720391628,NA,0,1
9,Norgay,Unified,"Oscar S. Barrera, III",Javier  Castellano,3,0.176347656809138,2,0,1
10,Centavo,Flashstorm,Naipaul  Chatterpaul,  Rider TBA,3.5,0.15115513440783257,1,1,1
1,Jet Set Juliet,Freud,Gustavo  Rodriguez,Eric  Cancel,5,0.1578407926204305,2,0,2
2,Handle the Truth,Speightster,Richard  Metivier,Omar  Hernandez Moreno,11,0.0717458148274684,NA,0,2
3,Aeron Warrior,Good Samaritan,David G. Donk,"Irad  Ortiz, Jr.",6,0.13153399385035872,3,0,2
4,Ricelle,Oxbow,Ricardo E. Legall,Elijah  Greenidge,21,0.037581141100102494,NA,0,2
5,Hey There,Country Day,Brad H. Cox,Flavien  Prat,3,0.26306798770071743,1,1,2
6,Our Rosie Diamonds,Bellamy Road,Michelle  Nevin,Jaime A. Torres,7,0.11274342330030748,4,0,2
7,Save Grace,Super Saver,Michael J. Maker,Manuel  Franco,3.5,0.22548684660061497,NA,0,2
1,Arrow of Time,Not This Time,Thomas  Morley,Eric  Cancel,21,0.03717067362289516,NA,0,3
2,American Know How,American Pharoah,Thomas  Morley,Trevor  McCarthy,9,0.08673157178675538,3,0,3
3,Balthazar,Flintshire (GB),Neil D. Drysdale,John R. Velazquez,5.5,0.1419243901965088,NA,0,3
4,Fast Boat to Skye,Cairo Prince,David G. Donk,Jose L. Ortiz,9,0.08673157178675538,NA,0,3
5,Cumberland,Classic Empire,George  Weaver,Joel  Rosario,3.5,0.22302404173737095,NA,0,3
6,Venge,Gun Runner,Robert  Ribaudo,Flavien  Prat,13,0.06004493431390757,2,0,3
7,Golden Purchase,Goldencents,Eduardo E. Jones,Omar  Hernandez Moreno,51,0.01530557149178036,4,0,3
8,Royal Velvet,Collected,Christophe  Clement,Manuel  Franco,7,0.11151202086868547,NA,0,3
9,Somama Beach,Mineshaft,Steven T. Jerkens,Elijah  Greenidge,51,0.01530557149178036,NA,0,3
10,Dark Vector,Bolt d'Oro,George  Weaver,Javier  Castellano,4.5,0.17346314357351075,1,1,3
11,Paxsational,Speightstown,Edward R. Barker,Dylan  Davis,16,0.0487865091300499,NA,0,3
5,Constitutionlawyer,Constitution,Raymond  Handal,Dylan  Davis,7,0.06924287462843154,1,1,4
12,Oglethorpe,Arrogate,Danny  Gargan,Flavien  Prat,7,0.06924287462843154,NA,0,4
1,Soulmate,Eskendereya,"John S. Pregman, Jr.",Javier  Castellano,11,0.04406364749082008,NA,0,4
2,Good Medicine,Mastery,Todd A. Pletcher,Flavien  Prat,9,0.05385556915544676,NA,0,4
3,Shutters,Get Stormy,Mark A. Hennig,Joel  Rosario,4.5,0.10771113831089352,NA,0,4
4,Activist Investing (GB),Kingman (GB),Chad C. Brown,"Irad  Ortiz, Jr.",4,0.1211750305997552,NA,0,4
6,Emboite (IRE),No Nay Never,Michael J. Maker,Manuel  Franco,6,0.08078335373317012,NA,0,4
7,Irwin (IRE),Australia (GB),Philip  Antonacci,Jose L. Ortiz,7,0.06924287462843154,NA,0,4
8,Danzigwiththestars,War Dancer,Domenick L. Schettino,Trevor  McCarthy,7,0.06924287462843154,NA,0,4
9,Luni Sima,Keen Ice,Peter R. Walder,Eric  Cancel,3.5,0.13848574925686308,4,0,4
10,Complete Agenda,Curlin,Thomas  Morley,Javier  Castellano,7,0.06924287462843154,3,0,4
11,Film Star,Flatter,Linda  Rice,Jose L. Ortiz,4.5,0.10771113831089352,2,0,4
1,Two Thirty Five,Stay Thirsty,"Oscar S. Barrera, III",Dylan  Davis,7,0.11290959336754836,NA,0,5
2,Black Belt,Not This Time,Peter R. Walder,Trevor  McCarthy,9,0.08781857261920428,NA,0,5
3,Business Model,Candy Ride (ARG),Brendan P. Walsh,"Irad  Ortiz, Jr.",2.2,0.359257797078563,1,1,5
4,Thinkaboutit,Uncaptured,Bruce R. Brown,Javier  Castellano,11,0.0718515594157126,NA,0,5
5,Lafitte's Fleet,More Than Ready,Rudy R. Rodriguez,Joel  Rosario,13,0.060797473351756816,4,0,5
6,Back Ring Luck,Malibu Moon,David  Jacobson,Jose L. Ortiz,6,0.1317278589288064,2,0,5
7,Milton the Monster,Jack Milton,Rob  Atras,Manuel  Franco,4.5,0.17563714523840857,3,0,5
1,Highly Flammable,Munnings,Mark E. Casse,Javier  Castellano,5.5,0.12389531677752133,NA,0,6
2,He's Got It,Central Banker,Rob  Atras,Trevor  McCarthy,11,0.061947658388760665,NA,0,6
3,Mach One,Air Force Blue,Eddie  Persaud,Joey R. Martinez,31,0.021981427170205396,NA,0,6
4,King James,Nyquist,Chad  Summers,Katie  Davis,7,0.09734632032519532,3,0,6
5,Bobby the Tank,Carpe Diem,Linda  Rice,Jose L. Ortiz,13,0.05241724940587441,NA,0,6
6,Nolo Contesto,Pioneerof the Nile,David  Jacobson,Jose  Lezcano,11,0.061947658388760665,4,0,6
7,Predicted,Tapit,Anthony W. Dutrow,Flavien  Prat,21,0.032448773441731776,NA,0,6
8,Winning Connection,Connect,Patrick L. Reynolds,Dylan  Davis,31,0.021981427170205396,2,0,6
