"","Team 1","Team 2","Team 3","Team 4","Team 5","Team 6","Team 7","Team 8","Team 9","Team 10","Team 11","Team 12","Team 13","Team 14","Team 15","Team 16","Team 17","Team 18","Team 19","Team 20","Team 21","Team 22","Team 23","Team 24","Team 25","Team 26","Team 27","Team 28","Team 29","Team 30","Team 31","Team 32","Team 33","Team 34","Team 35","Team 36","Team 37","Team 38","Team 39","Team 40","Team 41","Team 42","Team 43","Team 44","Team 45","Team 46","Team 47","Team 48","Team 49","Team 50","Team 51","Team 52","Team 53","Team 54","Team 55","Team 56","Team 57","Team 58","Team 59","Team 60","Team 61","Team 62","Team 63","Team 64"
"Team 1",NA,0.551125679476897,0.565597275653844,0.584838538109541,0.621274744149969,0.656686348955002,0.667228892849621,0.677987848093479,0.681997224760196,0.705799818295867,0.708711082362425,0.711239532277508,0.711708511121893,0.754514029803289,0.759607038847837,0.768622410820329,0.775887469189652,0.783845973068284,0.797289205618324,0.801156802368869,0.802786872894998,0.819555221099958,0.835050557416604,0.835390195820352,0.836741151050773,0.837468165006194,0.838618383949327,0.838959725383473,0.84002046685362,0.847302129230963,0.854265536045589,0.856485421334606,0.857199658183595,0.861556677255893,0.868039572888488,0.873054268874221,0.873750417807271,0.87402936624572,0.875546857669333,0.876613488262646,0.884946294640752,0.886109588076968,0.889829930248042,0.891140263752837,0.902261002149333,0.906243830387773,0.911395584790248,0.912866421084383,0.912882982888888,0.912990077312321,0.924831393813682,0.924904966996035,0.927658397724845,0.935906184621248,0.940219101216591,0.940320438763743,0.941232611986956,0.942933665900107,0.954916322371365,0.957331009689178,0.961435513424603,0.965666215412497,0.969129086266201,0.97902014932785
"Team 2",0.448874320523103,NA,0.514668369733611,0.534308094173008,0.571933078004717,0.609055098466389,0.620214397059005,0.631654251546093,0.635930741649452,0.661469859802988,0.664611341462285,0.667342908908823,0.667849886773995,0.714555720433983,0.720170275249814,0.730139201240014,0.738201029201544,0.74706154237972,0.762098164222769,0.766440496204974,0.768272846159384,0.787197898818136,0.804810083752478,0.805197462990301,0.806738885618311,0.80756877786966,0.808882303558538,0.809272236009212,0.810484350739366,0.81882042472531,0.826817195337262,0.82937167387091,0.830194096429369,0.835216693190991,0.842707830099861,0.848517178182655,0.849324661922357,0.849648292332698,0.851409556188696,0.852648240967537,0.862345371697114,0.863701984675488,0.868045292697736,0.86957675024428,0.882610161548233,0.887293726514897,0.89336423438762,0.895099940375355,0.895119491139608,0.895245916714582,0.909262064753408,0.909349383119693,0.912619289130452,0.922438349131383,0.927587406764264,0.927708510548262,0.928798854642383,0.930833362956209,0.945209175681638,0.948115529830091,0.953063045124731,0.958172285774934,0.96236152704807,0.974363561967461
"Team 3",0.434402724346156,0.485331630266389,NA,0.519679338460472,0.557507422022604,0.594994564947969,0.606295773604726,0.617896587318198,0.622237278940854,0.648205589590653,0.651405292504835,0.654188452471552,0.654705105018634,0.702435759934485,0.708191353905231,0.718420173874175,0.72670105220539,0.735811486570689,0.751294250526311,0.755770585695024,0.757660176743862,0.777200608786062,0.795425177067783,0.795826456704452,0.797423374491141,0.798283266808102,0.799644449919261,0.800048571057142,0.801304911947562,0.809950075159417,0.818251456998463,0.820904914179374,0.821759375839047,0.826979463309745,0.834770988757868,0.840818100764895,0.841658966200064,0.841995998453442,0.843830427018107,0.845120799919536,0.855229197266254,0.85664428294342,0.861176344719588,0.862774920182556,0.876391429072368,0.881289735273941,0.887642676275783,0.889459988486462,0.889480460610665,0.889612845346823,0.90430213305987,0.904393722568545,0.907824267077161,0.918133813825524,0.923544949975361,0.923672258108238,0.924818545923909,0.92695784376545,0.942089043198209,0.945151299343386,0.950366675923723,0.955755799560621,0.960177004440504,0.972855985026136
"Team 4",0.415161461890459,0.465691905826992,0.480320661539528,NA,0.538000103650682,0.57588265579977,0.587347298115402,0.599137293239334,0.60355436074699,0.630043382990239,0.63331483004923,0.636161750980513,0.636690378777723,0.685715841922299,0.691652874980008,0.702217656215567,0.710783204731739,0.720219971695426,0.736288996316257,0.740942278770198,0.742907569104517,0.763265862662433,0.782311005949668,0.782730983003069,0.784402577536366,0.785302859300704,0.786728232848523,0.787151471688257,0.788467422279845,0.797530007636295,0.806244119437472,0.809031965979488,0.809929957804951,0.815418672857825,0.82361977118527,0.829991883226289,0.830878434397227,0.831233812080199,0.833168432577592,0.834529626526769,0.845202658004846,0.846698181906353,0.851490169173916,0.853181266759459,0.86760364904109,0.872799649870771,0.87954484736497,0.881475648045333,0.881497401869605,0.881638076574716,0.897266021744079,0.89736358099978,0.901018772984817,0.912015720391073,0.917795039209494,0.917931070923082,0.919156033271785,0.921442771912732,0.937639597588781,0.94092238036659,0.946517116251835,0.952303242726882,0.957053949909443,0.970696913861934
"Team 5",0.378725255850031,0.428066921995283,0.442492577977396,0.461999896349318,NA,0.538324595512495,0.550011184232219,0.562072555318034,0.56660260242336,0.593899354846523,0.597286123596902,0.600236200139916,0.600784269310638,0.652006718441235,0.658263186292674,0.669425203435979,0.678502155656555,0.688530653981402,0.70567595550907,0.710657140299471,0.712763116123815,0.73465587040767,0.755264663829346,0.755720526954102,0.757535558293831,0.758513491238035,0.760062378498646,0.760522427625841,0.761953225667048,0.771823014040168,0.781340185677062,0.78439053523012,0.78537365945149,0.791388848881007,0.800396261595079,0.807411187532429,0.808388307172273,0.808780067457865,0.810913531095151,0.812415422845441,0.824214390499678,0.825870910639768,0.831184124295497,0.833061115789904,0.849110405990513,0.854910816554776,0.862455133452378,0.864617703841902,0.864642076631068,0.86479969143704,0.882354225035311,0.882464090022401,0.886582833593616,0.899003855783436,0.905549355134587,0.90570356887762,0.907092566798998,0.909687003025284,0.928118538612455,0.931866109478976,0.938262213880859,0.944889410826712,0.950340045477688,0.966040179653405
"Team 6",0.343313651044998,0.390944901533611,0.405005435052031,0.42411734420023,0.461675404487505,NA,0.511776877726525,0.523976107387664,0.528569705639373,0.556386420381985,0.559854181699253,0.562877787687415,0.563439823217171,0.616394389692542,0.622920833399255,0.634596428407383,0.644121308848776,0.654676430703366,0.672799698407856,0.678083465142076,0.680319877268657,0.703657310042336,0.72577501961166,0.726265904016162,0.728221081891495,0.729274994981523,0.730944895912389,0.731441047516515,0.732984593808572,0.743651378348128,0.75396901877398,0.757282588092922,0.758351238304167,0.764897056287026,0.774722718959332,0.782394618491719,0.783464623195174,0.78389371873955,0.786231454076594,0.787878109990375,0.800842111686389,0.802666148891313,0.808523251294049,0.810594785003689,0.82835894428981,0.834801871487181,0.843200030845604,0.845611148567074,0.845638332205645,0.845814129505755,0.865450233310769,0.865573479307894,0.870197049193181,0.884178148923973,0.891568603168767,0.891742914970474,0.893313331565237,0.896248541464517,0.91717295369613,0.921442876563859,0.928742645088776,0.936322361125222,0.94256880732765,0.960624042255119
"Team 7",0.332771107150379,0.379785602940995,0.393704226395274,0.412652701884598,0.449988815767781,0.488223122273475,NA,0.51221302371867,0.51681545895995,0.544728351171434,0.548213245147629,0.551252721345106,0.551817802587639,0.605194297557329,0.611791282479066,0.623603257470944,0.633249085296257,0.64394842187393,0.662344330100432,0.667713547903644,0.669986940105347,0.693739124589239,0.716298629040698,0.71679985771678,0.718796469054432,0.719872870535618,0.721578625050033,0.722085481552907,0.723662484380477,0.734566813935539,0.745124776695734,0.748517730931916,0.749612212032031,0.756318687434393,0.766393371983252,0.774266279734181,0.775364777484392,0.775805330901353,0.778205806446228,0.77989697708499,0.793220735664501,0.795096715548863,0.801122821110323,0.803254935535754,0.821555949473985,0.828201280251426,0.836869421852158,0.839359339852085,0.839387415185578,0.839568980864869,0.859868656757586,0.859996188338622,0.864781620594038,0.87926508800739,0.886928948038926,0.887109774036137,0.888739014995269,0.891784830050448,0.913522613886416,0.917963888113424,0.925560818719786,0.933454738263246,0.939964446943681,0.958802655490482
"Team 8",0.322012151906521,0.368345748453907,0.382103412681802,0.400862706760666,0.437927444681966,0.476023892612336,0.48778697628133,NA,0.504606219113921,0.532586531424087,0.536085213582989,0.539137690686186,0.539705289163867,0.593461569273347,0.600125065607268,0.612066925006883,0.621829107783962,0.632668346105732,0.651331495378485,0.656785089217112,0.6590950766055,0.683260582028814,0.70626513498458,0.706776833750091,0.708815403410172,0.709914591997889,0.71165669617442,0.712174410366988,0.713785360947834,0.724931295988069,0.735734642040917,0.739208848980554,0.740329788856257,0.747201042201494,0.757531835191404,0.765612054430377,0.76673997896949,0.767192368499313,0.769657683163003,0.771394885907165,0.785091489940049,0.787021419229666,0.7932232523646,0.795418429164242,0.814279847866268,0.821137151268898,0.830088592475813,0.832661313329481,0.832690325943834,0.832877955055808,0.853876908618728,0.85400896737869,0.858965486162093,0.873981147368342,0.881935377463873,0.882123127947176,0.883814910956217,0.886978382839209,0.909583774660261,0.914208340749667,0.922123548335081,0.930354546077684,0.937147106822001,0.956828749637435
"Team 9",0.318002775239804,0.364069258350548,0.377762721059146,0.39644563925301,0.433397397576639,0.471430294360627,0.48318454104005,0.495393780886079,NA,0.52799712186096,0.531499937694111,0.534556390431296,0.535124766101127,0.589008624601326,0.595695384569787,0.607683051931275,0.617486609247509,0.628375928840957,0.647135528978763,0.652619749779461,0.654943043138856,0.679259642703765,0.702428226050164,0.702943797549958,0.704997892780965,0.706105516974041,0.707861083002581,0.70838281956272,0.710006350308917,0.721241976932785,0.732136681129482,0.735641193327982,0.736772007240141,0.743704812887582,0.754131467922444,0.762289445578746,0.763428418638361,0.763885252891127,0.766374923750166,0.768129425797503,0.781966376897078,0.783916646222918,0.790184786214727,0.792403777866197,0.8114772588035,0.818414965593328,0.827474018449191,0.83007822405776,0.830107593142668,0.830297528368266,0.851562928426975,0.85169671523202,0.856718566094122,0.871937786563798,0.88000328407501,0.880193689659989,0.881909457111112,0.885118066668557,0.908056969893494,0.912752137604666,0.920790055108798,0.929151164973924,0.936053025098613,0.956061203728816
"Team 10",0.294200181704133,0.338530140197012,0.351794410409347,0.369956617009761,0.406100645153477,0.443613579618015,0.455271648828566,0.467413468575913,0.47200287813904,NA,0.503515216216658,0.506584751016133,0.507155792044984,0.561625784943462,0.568431629521428,0.580658613431038,0.590682611901949,0.601842965211255,0.621134397374662,0.626789673262832,0.629187562815604,0.6543613269899,0.678477114490099,0.679015220651711,0.681159727973053,0.682316523951444,0.684150628360097,0.684695848070154,0.686392870691797,0.698154439308185,0.709588145967212,0.713272131240479,0.714461490272182,0.721759994370912,0.732758609226823,0.741382549482257,0.742587869420917,0.743071403978613,0.745707483348699,0.747566071581406,0.76225033059367,0.764323804332302,0.770994261138843,0.773357997859961,0.793725842749204,0.801156734625933,0.810877818300694,0.813676128052701,0.813707695823448,0.813911855557678,0.836827023509302,0.836971549136757,0.842399757337999,0.858889395000881,0.867651956295253,0.867859017519975,0.869725287027677,0.873217357770714,0.89825937881749,0.903401646751916,0.912218153875793,0.921406852150099,0.929005493641711,0.951103566985839
