"","Team 1","Team 2","Team 3","Team 4","Team 5","Team 6","Team 7","Team 8","Team 9","Team 10","Team 11","Team 12","Team 13","Team 14","Team 15","Team 16","Team 17","Team 18","Team 19","Team 20","Team 21","Team 22","Team 23","Team 24","Team 25","Team 26","Team 27","Team 28","Team 29","Team 30","Team 31","Team 32","Team 33","Team 34","Team 35","Team 36","Team 37","Team 38","Team 39","Team 40","Team 41","Team 42","Team 43","Team 44","Team 45","Team 46","Team 47","Team 48","Team 49","Team 50","Team 51","Team 52","Team 53","Team 54","Team 55","Team 56","Team 57","Team 58","Team 59","Team 60","Team 61","Team 62","Team 63","Team 64"
"Team 1",NA,0.713388268328888,0.716960415392238,0.72751346983592,0.751158166249855,0.764037630333827,0.773390209232295,0.779478023925043,0.785447662059142,0.788388110077109,0.791298966963393,0.797031930748983,0.797031930748983,0.82393101815232,0.845670430291288,0.845670430291288,0.85460501213005,0.856770491870843,0.869204195382661,0.878854084691975,0.884344691072263,0.887883854446026,0.887883854446026,0.887883854446026,0.894678941489563,0.896319978897914,0.899534318009755,0.904189828566757,0.907185447531394,0.907185447531394,0.908651513856778,0.914309399815591,0.918342395717664,0.919647840114024,0.920934211440208,0.92589338420209,0.928264252810045,0.928264252810045,0.929423268609644,0.929423268609644,0.930564959208791,0.93279721941326,0.934962730549098,0.936020980048042,0.937063169421722,0.942040381317845,0.944846958245946,0.948390326051973,0.950080262178951,0.957770731246888,0.964320924668258,0.969887059576205,0.971386174904962,0.979678875179925,0.980025073630269,0.980025073630269,0.98036549231727,0.982291715877218,0.982594191836752,0.982891591177349,0.983471487389848,0.98702297144334,0.987891420053008,0.988504845768333
"Team 2",0.286611731671111,NA,0.504384009667008,0.517529300980117,0.548076354043532,0.565385242709552,0.578265414297993,0.586794532954148,0.59527188678948,0.599489679894874,0.603692781445365,0.612052653820477,0.612052653820477,0.652787250614182,0.68764706372947,0.68764706372947,0.702511857985562,0.706163727525144,0.72751346983592,0.744544761777657,0.754421621853542,0.760861454616459,0.760861454616459,0.760861454616459,0.773390209232295,0.776448872887872,0.782477628408598,0.791298966963393,0.797031930748983,0.797031930748983,0.799854071496068,0.810847819125192,0.818785090714342,0.821372554631641,0.82393101815232,0.833876926670378,0.83867873107546,0.83867873107546,0.841037291849521,0.841037291849521,0.843367809854579,0.847945303381115,0.852412432375012,0.85460501213005,0.856770491870843,0.867197561916499,0.873140209811403,0.880708817306505,0.884344691072263,0.90110806460006,0.915673398562167,0.928264252810045,0.931689538554791,0.950905444317034,0.951717679242339,0.951717679242339,0.952517147322272,0.957055729705889,0.957770731246888,0.958474344875546,0.959848063749127,0.968311965763925,0.970395034085304,0.971869594335284
"Team 3",0.283039584607762,0.495615990332992,NA,0.513149333345856,0.543729211110214,0.561071257232768,0.573982943656275,0.582536145966068,0.591039976837089,0.59527188678948,0.599489679894874,0.60788062523125,0.60788062523125,0.648801923431041,0.683868087848614,0.683868087848614,0.69883395856164,0.702511857985563,0.724023242339543,0.74119508016403,0.751158166249855,0.757656086677248,0.757656086677248,0.757656086677248,0.770302076721602,0.773390209232295,0.779478023925043,0.788388110077109,0.794180236336851,0.794180236336851,0.797031930748983,0.808143511874889,0.816168535143265,0.818785090714342,0.821372554631641,0.83143341947032,0.836291987543728,0.836291987543728,0.83867873107546,0.83867873107546,0.841037291849521,0.845670430291288,0.850192584176861,0.852412432375012,0.85460501213005,0.865164918778215,0.871185012581787,0.878854084691975,0.882538949305954,0.899534318009755,0.914309399815591,0.927087696728997,0.930564959208791,0.950080262178951,0.950905444317034,0.950905444317034,0.951717679242339,0.956329174161324,0.957055729705889,0.957770731246888,0.959166734880906,0.967769436224027,0.969887059576205,0.971386174904962
"Team 4",0.27248653016408,0.482470699019883,0.486850666654144,NA,0.530650374849319,0.548076354043533,0.561071257232768,0.569689346700944,0.578265414297993,0.582536145966068,0.586794532954148,0.59527188678948,0.59527188678948,0.636722661531609,0.67238589349945,0.67238589349945,0.68764706372947,0.69140125108759,0.713388268328888,0.730975958186144,0.74119508016403,0.747865836875764,0.747865836875764,0.747865836875764,0.760861454616459,0.764037630333827,0.770302076721602,0.779478023925043,0.785447662059142,0.785447662059142,0.788388110077109,0.799854071496069,0.808143511874889,0.810847819125192,0.813522803644245,0.82393101815232,0.828961342752704,0.828961342752704,0.83143341947032,0.83143341947032,0.833876926670378,0.83867873107546,0.843367809854579,0.845670430291288,0.847945303381115,0.858909044119229,0.865164918778215,0.873140209811403,0.87697454305347,0.894678941489563,0.9100967176457,0.923450620053924,0.927087696728997,0.947525202620892,0.948390326051973,0.948390326051973,0.949241950709833,0.95407849560167,0.95484072769629,0.955590896721398,0.957055729705889,0.966087450502429,0.968311965763925,0.969887059576205
"Team 5",0.248841833750145,0.451923645956468,0.456270788889786,0.469349625150681,NA,0.517529300980118,0.530650374849319,0.53937539595911,0.548076354043533,0.552416173270057,0.556748021742081,0.565385242709552,0.565385242709552,0.60788062523125,0.644795743238257,0.644795743238257,0.660693574954032,0.664613714902145,0.68764706372947,0.706163727525144,0.716960415392238,0.724023242339543,0.724023242339543,0.724023242339543,0.737816942524024,0.74119508016403,0.747865836875764,0.757656086677248,0.764037630333827,0.764037630333827,0.767184529115446,0.779478023925043,0.788388110077109,0.791298966963393,0.794180236336851,0.805409819761281,0.810847819125192,0.810847819125192,0.813522803644245,0.813522803644245,0.816168535143265,0.821372554631641,0.826460579317389,0.828961342752704,0.83143341947032,0.843367809854579,0.850192584176861,0.858909044119229,0.863106075618657,0.882538949305954,0.899534318009755,0.914309399815591,0.918342395717664,0.941075428357957,0.942040381317845,0.942040381317845,0.942990489419133,0.948390326051973,0.949241950709833,0.950080262178951,0.951717679242339,0.96182728135849,0.964320924668258,0.966087450502429
"Team 6",0.235962369666173,0.434614757290448,0.438928742767232,0.451923645956467,0.482470699019882,NA,0.513149333345856,0.521906576685943,0.530650374849319,0.535015564135271,0.539375395959109,0.548076354043532,0.548076354043532,0.591039976837088,0.628571789550168,0.628571789550168,0.644795743238256,0.648801923431041,0.67238589349945,0.69140125108759,0.702511857985562,0.709789287011244,0.709789287011244,0.709789287011244,0.724023242339543,0.72751346983592,0.734410510738898,0.744544761777657,0.751158166249855,0.751158166249855,0.754421621853542,0.767184529115446,0.776448872887872,0.779478023925043,0.782477628408598,0.794180236336851,0.799854071496068,0.799854071496068,0.802646688429027,0.802646688429027,0.805409819761281,0.810847819125192,0.816168535143265,0.818785090714342,0.821372554631641,0.833876926670378,0.841037291849521,0.850192584176861,0.85460501213005,0.875069986100834,0.893015030183548,0.908651513856778,0.912925436172404,0.937063169421722,0.938089504883347,0.938089504883347,0.939100191221388,0.944846958245946,0.945753708552766,0.946646393119357,0.948390326051973,0.959166734880906,0.96182728135849,0.963712625352239
"Team 7",0.226609790767705,0.421734585702007,0.426017056343725,0.438928742767232,0.469349625150681,0.486850666654144,NA,0.508767345316614,0.517529300980118,0.521906576685943,0.526280490582238,0.535015564135271,0.535015564135271,0.578265414297993,0.616208318827642,0.616208318827642,0.632656706118118,0.636722661531609,0.660693574954032,0.680064663900276,0.69140125108759,0.69883395856164,0.69883395856164,0.69883395856164,0.713388268328888,0.716960415392238,0.724023242339543,0.734410510738898,0.74119508016403,0.74119508016403,0.744544761777657,0.757656086677248,0.767184529115446,0.770302076721602,0.773390209232295,0.785447662059142,0.791298966963393,0.791298966963393,0.794180236336851,0.794180236336851,0.797031930748983,0.802646688429027,0.808143511874889,0.810847819125192,0.813522803644245,0.826460579317389,0.833876926670378,0.843367809854579,0.847945303381115,0.869204195382661,0.887883854446026,0.904189828566757,0.908651513856778,0.93388821332234,0.934962730549098,0.934962730549098,0.936020980048042,0.942040381317845,0.942990489419133,0.943925949861412,0.945753708552766,0.957055729705889,0.959848063749127,0.96182728135849
"Team 8",0.220521976074957,0.413205467045852,0.417463854033932,0.430310653299056,0.46062460404089,0.478093423314057,0.491232654683386,NA,0.508767345316614,0.513149333345856,0.517529300980117,0.526280490582238,0.526280490582238,0.569689346700943,0.60788062523125,0.60788062523125,0.624468411326285,0.628571789550168,0.652787250614182,0.67238589349945,0.683868087848614,0.69140125108759,0.69140125108759,0.69140125108759,0.706163727525144,0.709789287011244,0.716960415392238,0.72751346983592,0.734410510738898,0.734410510738898,0.737816942524023,0.751158166249855,0.760861454616459,0.764037630333827,0.767184529115446,0.779478023925043,0.785447662059141,0.785447662059141,0.788388110077109,0.788388110077109,0.791298966963393,0.797031930748983,0.802646688429027,0.805409819761281,0.808143511874889,0.821372554631641,0.828961342752704,0.83867873107546,0.843367809854579,0.865164918778214,0.884344691072263,0.90110806460006,0.905698293976441,0.931689538554791,0.93279721941326,0.93279721941326,0.93388821332234,0.940095431766104,0.941075428357957,0.942040381317845,0.943925949861412,0.955590896721398,0.958474344875546,0.960518492163645
"Team 9",0.214552337940858,0.40472811321052,0.408960023162911,0.421734585702007,0.451923645956467,0.469349625150681,0.482470699019882,0.491232654683386,NA,0.504384009667008,0.508767345316613,0.517529300980117,0.517529300980117,0.561071257232767,0.599489679894874,0.599489679894874,0.616208318827641,0.620347081172284,0.644795743238256,0.664613714902144,0.676237144325114,0.683868087848614,0.683868087848614,0.683868087848614,0.69883395856164,0.702511857985562,0.709789287011244,0.720505484109716,0.72751346983592,0.72751346983592,0.730975958186144,0.744544761777657,0.754421621853542,0.757656086677248,0.760861454616459,0.773390209232295,0.779478023925042,0.779478023925042,0.782477628408598,0.782477628408598,0.785447662059141,0.791298966963393,0.797031930748983,0.799854071496068,0.802646688429027,0.816168535143265,0.82393101815232,0.833876926670378,0.83867873107546,0.861020845310896,0.880708817306505,0.897938363704931,0.902659826840916,0.929423268609644,0.930564959208791,0.930564959208791,0.931689538554791,0.938089504883347,0.939100191221388,0.940095431766104,0.942040381317845,0.95407849560167,0.957055729705889,0.959166734880906
"Team 10",0.211611889922891,0.400510320105126,0.40472811321052,0.417463854033932,0.447583826729943,0.464984435864729,0.478093423314057,0.486850666654144,0.495615990332992,NA,0.504384009667008,0.513149333345856,0.513149333345856,0.556748021742081,0.59527188678948,0.59527188678948,0.612052653820477,0.616208318827642,0.640769166721459,0.660693574954032,0.67238589349945,0.680064663900276,0.680064663900276,0.680064663900276,0.695130321491636,0.69883395856164,0.706163727525144,0.716960415392238,0.724023242339543,0.724023242339543,0.72751346983592,0.74119508016403,0.751158166249855,0.754421621853542,0.757656086677248,0.770302076721602,0.776448872887872,0.776448872887872,0.779478023925043,0.779478023925043,0.782477628408598,0.788388110077109,0.794180236336851,0.797031930748983,0.799854071496069,0.813522803644245,0.821372554631641,0.83143341947032,0.836291987543728,0.858909044119229,0.878854084691975,0.896319978897914,0.90110806460006,0.928264252810045,0.929423268609644,0.929423268609644,0.930564959208791,0.937063169421722,0.938089504883347,0.939100191221388,0.941075428357957,0.953304027163233,0.956329174161324,0.958474344875546
